Date,Prev Close,Open,High,Low,Close,Volume
2007-11-27,440.0,770.0,1050.0,770.0,962.9,27294366
2007-11-28,962.9,984.0,990.0,874.0,893.9,4581338
2007-11-29,893.9,909.0,914.75,841.0,884.2,5124121
2007-11-30,884.2,890.0,958.0,890.0,921.55,4609762
2007-12-03,921.55,939.75,995.0,922.0,969.3,2977470
2007-12-04,969.3,985.0,1056.0,976.0,1041.45,4849250
2007-12-05,1041.45,1061.0,1099.5,1050.0,1082.45,2848209
2007-12-06,1082.45,1089.0,1109.7,1051.0,1081.3,1749516
2007-12-07,1081.3,1100.0,1134.0,1078.0,1102.4,2247904
2007-12-10,1102.4,1110.0,1110.0,1061.1,1075.4,1012350
2007-12-11,1075.4,1081.0,1089.0,1041.0,1047.65,810464
2007-12-12,1047.65,1032.0,1065.0,1016.0,1036.8,744799
2007-12-13,1036.8,1040.0,1150.0,1030.25,1129.95,3067687
2007-12-14,1129.95,1139.9,1140.0,1101.1,1110.5,1070737
2007-12-17,1110.5,1140.0,1168.0,1021.5,1044.25,1404955
2007-12-18,1044.25,1045.0,1109.9,1031.55,1074.95,1226984
2007-12-19,1074.95,1091.0,1116.0,1046.3,1066.9,845666
2007-12-20,1066.9,1083.5,1083.5,1051.0,1060.2,623288
2007-12-24,1060.2,1095.0,1192.0,1085.25,1156.8,2060892
2007-12-26,1156.8,1175.0,1214.0,1148.0,1199.9,1467031
2007-12-27,1199.9,1215.0,1240.0,1204.0,1211.65,977495
2007-12-28,1211.65,1189.4,1274.0,1175.0,1249.1,1164138
2007-12-31,1249.1,1263.35,1295.0,1261.0,1268.8,737249
2008-01-01,1268.8,1279.0,1319.0,1263.7,1296.85,491348
2008-01-02,1296.85,1310.25,1324.0,1270.0,1307.45,703815
2008-01-03,1307.45,1305.0,1314.7,1261.15,1275.8,505058
2008-01-04,1275.8,1278.8,1294.8,1233.0,1240.35,550795
2008-01-07,1240.35,1240.0,1278.9,1215.0,1227.25,630963
2008-01-08,1227.25,1240.0,1255.0,1185.0,1204.8,530499
2008-01-09,1204.8,1200.0,1210.0,1151.0,1180.25,627507
2008-01-10,1180.25,1185.0,1199.8,1110.0,1121.55,438806
2008-01-11,1121.55,1128.0,1130.0,1063.0,1085.85,616938
2008-01-14,1085.85,1082.4,1082.4,1031.1,1035.15,835916
2008-01-15,1035.15,1045.6,1078.7,1036.05,1049.55,830493
2008-01-16,1049.55,1046.0,1064.0,1000.0,1030.4,816188
