Date,Open,High,Low,Close,Volume
03/01/00,370.0,390.0,370.0,381.65,3318
04/01/00,380.0,392.0,375.0,385.55,4818
05/01/00,371.5,390.0,371.5,383.0,2628
06/01/00,384.9,384.9,374.5,377.5,3354
07/01/00,376.0,390.0,370.0,385.7,9589
10/01/00,415.0,416.6,409.0,415.0,60313
11/01/00,415.0,423.0,409.0,415.2,65570
12/01/00,420.0,448.45,410.05,417.65,24854
13/01/00,423.0,429.9,413.05,418.7,9169
14/01/00,410.0,414.9,408.0,410.0,64603
17/01/00,420.0,421.0,401.0,411.35,7537
18/01/00,410.0,419.0,410.0,414.05,7656
19/01/00,425.0,430.0,417.5,419.35,28800
20/01/00,425.0,428.9,412.0,420.55,54282
21/01/00,422.0,445.0,421.25,425.85,48388
24/01/00,434.0,459.95,434.0,458.4,55504
25/01/00,470.0,495.05,467.0,494.7,45422
27/01/00,530.0,530.0,460.0,472.95,33156
28/01/00,470.0,483.0,465.0,480.65,48664
31/01/00,499.0,499.0,460.0,460.5,35334
01/02/00,462.0,468.0,459.0,460.3,29884
02/02/00,475.0,475.0,459.0,460.1,14142
03/02/00,462.0,463.0,455.0,456.1,24627
04/02/00,460.0,465.0,455.0,456.7,71643
07/02/00,460.0,460.0,440.0,453.65,6906
08/02/00,440.0,481.0,440.0,459.85,53864
09/02/00,469.0,469.0,447.5,457.15,2794
10/02/00,460.0,460.0,440.0,440.9,13668
11/02/00,437.0,450.0,431.5,443.35,5349
14/02/00,440.0,450.0,414.9,431.75,3624
15/02/00,445.0,445.0,400.1,416.65,8167
16/02/00,427.0,427.0,390.0,399.1,5557
17/02/00,375.0,408.0,375.0,392.6,17561
18/02/00,409.0,410.0,391.0,402.45,7253
21/02/00,402.0,410.0,395.25,402.75,6568
22/02/00,401.0,404.0,400.0,400.45,8046
23/02/00,396.0,410.0,395.0,406.85,2776
24/02/00,400.0,405.0,398.0,400.5,1872
25/02/00,392.0,404.8,380.0,392.95,1010
28/02/00,375.0,402.5,375.0,400.45,2057
29/02/00,395.0,402.5,369.0,376.4,2964
01/03/00,397.0,400.0,364.0,399.7,1383
02/03/00,400.0,412.0,388.1,390.0,3829
03/03/00,370.0,421.2,370.0,404.8,10700
06/03/00,400.0,408.0,390.0,398.05,5122
07/03/00,385.3,390.0,375.0,376.55,3976
08/03/00,388.0,400.0,380.0,399.95,22425
09/03/00,409.9,431.0,391.0,423.5,8150
10/03/00,419.0,419.0,392.25,402.2,2124
13/03/00,400.0,405.0,396.0,399.95,74011
14/03/00,394.05,415.0,391.0,400.15,21141
15/03/00,400.0,419.95,400.0,407.45,3251
16/03/00,415.0,415.0,405.0,410.0,58313
21/03/00,407.0,425.0,407.0,418.05,6582
22/03/00,444.0,449.0,420.0,422.5,5524
23/03/00,410.0,425.0,410.0,416.15,3406
24/03/00,415.0,419.8,412.0,415.35,3656
27/03/00,423.0,423.0,411.1,415.6,5379
28/03/00,413.0,423.95,413.0,417.0,4554
29/03/00,415.25,422.0,415.0,415.0,1159
30/03/00,415.0,448.2,410.0,437.75,7824
31/03/00,426.0,431.0,416.0,423.2,5074
03/04/00,440.0,440.0,412.0,413.6,18297
04/04/00,401.0,417.0,400.0,413.1,19926
