Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,24.7,26.7,26.7,26.7,26.7,112100
2000-01-04,26.7,27.0,28.7,26.5,26.85,234500
2000-01-05,26.85,26.0,27.75,25.5,26.3,170100
2000-01-06,26.3,25.8,27.0,25.8,25.95,102100
2000-01-07,25.95,25.0,26.0,24.25,24.8,62600
2000-01-10,24.8,25.05,26.5,25.0,25.0,64200
2000-01-11,25.0,24.25,24.8,23.0,23.2,91700
2000-01-12,23.2,22.6,24.5,22.6,24.0,32500
2000-01-13,24.0,24.5,24.5,23.1,23.6,48300
2000-01-14,23.6,24.0,24.2,22.5,23.25,30700
2000-01-17,23.25,24.5,25.15,24.25,25.15,82400
2000-01-18,25.15,26.5,26.5,24.3,24.9,110400
2000-01-19,24.9,24.75,26.0,24.75,25.6,89300
2000-01-20,25.6,26.1,26.25,24.3,24.45,103500
2000-01-21,24.45,25.0,25.3,24.3,25.1,47300
2000-01-24,25.1,25.6,25.75,24.6,24.8,102400
2000-01-25,24.8,25.0,25.4,24.05,25.05,131700
2000-01-27,25.05,25.85,27.05,25.25,27.05,201400
2000-01-28,27.05,28.0,29.25,27.1,29.25,311600
2000-01-31,29.25,31.0,31.6,30.1,31.6,317000
2000-02-01,31.6,32.95,34.15,32.95,34.15,201000
2000-02-02,34.15,36.9,36.9,36.9,36.9,65800
2000-02-03,36.9,39.85,39.85,39.85,39.85,160400
2000-02-04,39.85,43.05,43.05,43.05,43.05,60700
2000-02-07,43.05,46.5,46.5,39.65,39.65,790600
2000-02-08,39.65,38.0,40.75,37.0,37.95,434100
2000-02-09,37.95,39.5,40.0,35.05,36.05,284200
2000-02-10,36.05,37.5,38.95,36.5,38.95,214000
2000-02-11,38.95,42.1,42.1,42.1,42.1,129700
2000-02-14,42.1,44.95,45.25,38.75,38.75,236000
2000-02-15,38.75,37.25,37.25,35.65,35.65,285600
2000-02-16,35.65,37.0,38.5,36.0,38.1,205200
2000-02-17,38.1,39.5,40.0,37.3,38.5,145600
2000-02-18,38.5,37.55,37.75,35.5,36.6,101900
2000-02-21,36.6,38.25,38.25,34.7,35.4,119100
2000-02-22,35.4,37.2,38.0,33.3,33.75,185300
2000-02-23,33.75,35.0,36.4,34.0,34.55,100300
2000-02-24,34.55,37.35,37.35,33.0,37.35,247000
2000-02-25,37.35,39.75,40.1,35.8,39.45,208500
2000-02-28,39.45,42.5,42.65,37.0,38.85,210000
2000-02-29,38.85,41.0,41.0,35.75,36.25,316300
2000-03-01,36.25,37.0,39.15,36.9,39.15,132000
2000-03-02,39.15,42.2,42.2,38.0,38.2,172700
2000-03-03,38.2,38.0,38.0,35.15,35.55,144700
2000-03-06,35.55,37.7,37.8,35.0,35.2,90200
2000-03-07,35.2,33.5,35.4,32.4,32.65,175200
2000-03-08,32.65,34.0,34.85,30.25,30.6,111100
2000-03-09,30.6,29.65,31.1,28.15,28.5,81200
2000-03-10,28.5,28.0,28.9,26.55,28.05,61600
2000-03-13,28.05,28.5,29.85,26.05,28.35,95400
2000-03-14,28.35,27.5,28.3,26.1,27.4,143700
2000-03-15,27.4,29.6,29.6,29.6,29.6,25600
2000-03-16,29.6,30.7,32.0,29.5,31.9,118700
2000-03-21,31.9,34.25,34.25,30.25,30.8,85026
2000-03-22,30.8,32.75,32.75,30.6,32.35,61550
2000-03-23,32.35,32.8,33.45,31.0,31.45,36125
2000-03-24,31.45,31.45,33.0,30.8,31.9,32075
2000-03-27,31.9,30.5,32.3,30.0,30.6,42001
2000-03-28,30.6,30.25,32.0,30.1,31.7,93495
2000-03-29,31.7,32.9,34.25,32.0,34.25,23660
2000-03-30,34.25,36.0,37.0,35.05,36.75,98921
2000-03-31,36.75,36.9,39.7,36.25,39.7,71380
2000-04-03,39.7,42.9,42.9,36.8,38.9,213574
2000-04-04,38.9,39.95,39.95,35.8,35.8,53473
2000-04-05,35.8,33.05,38.65,33.0,34.7,88895
2000-04-06,34.7,35.75,35.9,32.25,32.8,76357
2000-04-07,32.8,34.1,35.45,34.1,35.45,20370
2000-04-10,35.45,38.0,38.3,36.3,37.95,149272
2000-04-11,37.95,39.9,39.9,35.6,36.7,87414
2000-04-12,36.7,36.3,38.4,36.25,36.95,45088
2000-04-13,36.95,36.0,36.75,34.5,35.0,51006
2000-04-17,35.0,32.2,34.25,32.2,34.05,86534
2000-04-18,34.05,34.5,35.25,33.25,34.4,88332
2000-04-19,34.4,35.55,36.35,32.0,33.85,83547
2000-04-20,33.85,33.25,33.9,32.0,33.45,50745
2000-04-24,33.45,33.3,34.2,32.0,32.55,62466
2000-04-25,32.55,31.75,32.85,30.2,31.1,82390
2000-04-26,31.1,32.25,33.6,32.25,33.6,62291
2000-04-27,33.6,35.0,35.5,33.6,34.95,98202
2000-04-28,34.95,35.25,36.0,34.1,34.5,53901
2000-05-02,34.5,36.0,36.25,34.3,35.85,137395
2000-05-03,35.85,38.0,38.0,34.6,36.25,83471
