Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,381.2,405.0,407.0,393.05,399.25,8720
2000-01-04,399.25,397.75,397.75,367.4,370.5,22820
2000-01-05,370.5,350.0,385.0,350.0,359.95,152538
2000-01-06,359.95,362.0,384.0,362.0,380.3,59554
2000-01-07,380.3,369.0,390.0,366.0,379.85,43187
2000-01-10,379.85,380.0,394.5,380.0,384.95,52234
2000-01-11,384.95,385.0,385.0,366.0,372.8,17112
2000-01-12,372.8,380.0,382.0,375.0,378.0,5783
2000-01-13,378.0,380.0,380.0,373.0,376.0,2297
2000-01-14,376.0,378.0,382.0,373.0,374.4,18856
2000-01-17,374.4,379.0,379.0,372.0,375.85,133538
2000-01-18,375.85,375.0,391.95,373.1,380.75,39481
2000-01-19,380.75,381.3,389.8,375.0,376.85,41115
2000-01-20,376.85,376.0,378.0,369.0,371.2,25740
2000-01-21,371.2,372.5,372.5,367.0,369.3,5960
2000-01-24,369.3,385.0,385.0,352.1,355.2,6035
2000-01-25,355.2,350.0,360.0,345.0,348.55,52396
2000-01-27,348.55,355.0,376.45,350.05,365.9,135737
2000-01-28,365.9,337.35,392.4,337.35,375.25,79935
2000-01-31,375.25,370.0,385.0,370.0,382.2,31151
2000-02-01,382.2,380.0,390.0,376.0,378.95,60620
2000-02-02,378.95,384.0,409.0,382.5,400.3,168656
2000-02-03,400.3,400.0,405.0,368.3,381.8,93248
2000-02-04,381.8,393.0,393.0,367.25,370.85,24934
2000-02-07,370.85,385.0,385.0,360.25,368.4,7598
2000-02-08,368.4,369.75,370.0,340.75,353.8,34263
2000-02-09,353.8,369.0,382.1,352.05,380.75,131659
2000-02-10,380.75,368.5,374.5,350.3,350.3,38342
2000-02-11,350.3,359.9,360.0,322.3,327.7,24900
2000-02-14,327.7,329.0,353.9,320.0,352.05,51815
2000-02-15,352.05,378.0,378.0,324.0,332.9,26628
2000-02-16,332.9,338.0,343.0,325.0,330.05,16520
2000-02-17,330.05,330.0,332.5,322.0,327.75,13720
2000-02-18,327.75,328.0,330.0,301.6,301.6,25578
2000-02-21,301.6,290.3,310.0,290.3,293.95,42975
2000-02-22,293.95,294.0,294.0,270.45,270.45,95547
2000-02-23,270.45,271.0,281.0,248.85,264.45,111321
2000-02-24,264.45,260.0,273.0,256.0,270.1,25201
2000-02-25,270.1,272.0,275.0,268.25,270.05,40042
2000-02-28,270.05,279.45,291.65,269.0,291.55,17847
2000-02-29,291.55,314.0,314.9,270.1,274.3,38312
2000-03-01,274.3,292.5,292.5,275.0,275.95,27110
2000-03-02,275.95,275.0,289.95,254.0,257.2,25885
2000-03-03,257.2,255.0,255.0,240.05,249.4,34273
2000-03-06,249.4,249.5,251.0,229.45,229.5,45798
2000-03-07,229.5,226.0,234.9,211.15,211.15,13238
2000-03-08,211.15,198.0,207.9,195.0,195.9,35905
2000-03-09,195.9,198.0,204.0,185.0,197.9,106261
2000-03-10,197.9,197.9,204.8,193.3,198.65,81470
2000-03-13,198.65,198.9,205.0,195.0,198.85,32262
2000-03-14,198.85,199.0,214.25,197.0,212.85,27423
2000-03-15,212.85,217.5,229.9,214.1,223.6,187769
