Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,703.25,705.0,759.5,705.0,756.9,7512
2000-01-04,756.9,710.0,770.0,710.0,754.55,8135
2000-01-05,754.55,755.0,759.0,705.0,735.3,6095
2000-01-06,735.3,740.0,794.15,740.0,785.65,19697
2000-01-07,785.65,808.0,848.5,798.0,848.5,33107
2000-01-10,848.5,900.0,916.4,865.0,912.2,29575
2000-01-11,912.2,920.0,920.0,839.25,853.75,20635
2000-01-12,853.75,900.0,900.0,860.55,882.7,9312
2000-01-13,882.7,890.0,920.0,875.0,881.4,19526
2000-01-14,881.4,872.5,880.0,864.0,869.65,15675
2000-01-17,869.65,880.0,890.0,870.0,875.95,7125
2000-01-18,875.95,870.1,899.0,868.0,881.05,12526
2000-01-19,881.05,889.0,911.0,889.0,900.85,14108
2000-01-20,900.85,907.0,919.9,893.55,895.7,5671
2000-01-21,895.7,897.9,897.9,885.25,888.25,1888
2000-01-24,888.25,880.0,895.0,851.0,884.75,6351
2000-01-25,884.75,871.0,890.0,870.0,881.25,6859
2000-01-27,881.25,865.9,885.0,810.75,830.3,14678
2000-01-28,830.3,800.0,815.0,782.0,792.45,6418
2000-01-31,792.45,778.65,788.0,729.25,746.75,5416
2000-02-01,746.75,751.0,759.0,721.0,731.5,7347
2000-02-02,731.5,740.0,752.0,700.0,731.05,4939
2000-02-03,731.05,750.0,750.0,695.0,714.15,11619
2000-02-04,714.15,720.0,720.0,706.0,713.5,13147
2000-02-07,713.5,701.0,717.0,700.0,701.7,7195
2000-02-08,701.7,704.0,704.0,680.0,685.5,15083
2000-02-09,685.5,714.0,740.35,695.0,707.4,23357
2000-02-10,707.4,719.0,730.0,707.0,712.1,11341
2000-02-11,712.1,723.0,729.0,700.0,704.15,20795
2000-02-14,704.15,710.0,711.0,690.0,690.6,7765
2000-02-15,690.6,681.0,681.0,640.0,653.3,18622
2000-02-16,653.3,670.0,680.0,662.0,674.7,10876
2000-02-17,674.7,670.0,698.0,670.0,677.0,8926
2000-02-18,677.0,670.0,694.9,661.0,667.05,11460
2000-02-21,667.05,675.0,690.0,655.0,665.7,7993
2000-02-22,665.7,670.0,670.0,655.0,657.45,11142
2000-02-23,657.45,658.0,680.0,655.0,665.65,5793
2000-02-24,665.65,675.0,677.0,642.0,662.1,8205
2000-02-25,662.1,674.0,674.0,640.0,641.85,6346
2000-02-28,641.85,640.0,656.0,609.15,635.85,9071
2000-02-29,635.85,650.0,659.85,605.0,611.5,16183
2000-03-01,611.5,625.0,625.0,562.6,562.6,9303
2000-03-02,562.6,527.0,530.0,517.6,517.6,8703
2000-03-03,517.6,476.2,545.45,476.2,504.6,26306
2000-03-06,504.6,525.0,525.0,464.25,475.3,18609
2000-03-07,475.3,479.9,490.0,462.0,469.35,17834
2000-03-08,469.35,488.0,506.45,465.1,489.4,39317
2000-03-09,489.4,500.0,500.0,475.0,499.65,34910
2000-03-10,499.65,500.0,517.9,470.0,486.15,36935
2000-03-13,486.15,500.0,520.0,487.0,512.0,13605
2000-03-14,512.0,510.0,530.0,490.0,519.95,30386
2000-03-15,519.95,520.0,561.55,520.0,540.1,16605
2000-03-16,540.1,547.6,559.85,520.0,543.65,9879
2000-03-21,543.65,550.0,554.95,535.1,544.85,22765
2000-03-22,544.85,563.0,587.0,558.0,573.25,19318
2000-03-23,573.25,590.0,595.0,572.25,579.45,19081
2000-03-24,579.45,581.0,613.0,581.0,599.3,10517
2000-03-27,599.3,609.0,642.0,595.0,636.6,14160
2000-03-28,636.6,640.1,651.0,622.25,629.6,12543
2000-03-29,629.6,654.0,675.0,625.0,643.65,19000
2000-03-30,643.65,625.0,635.0,605.0,621.2,13117
2000-03-31,621.2,624.0,629.9,605.0,619.8,9611
2000-04-03,619.8,612.0,618.0,571.55,601.35,6724
2000-04-04,601.35,575.0,589.0,555.0,567.8,14661
2000-04-05,567.8,560.0,590.0,560.0,578.8,4633
2000-04-06,578.8,581.05,600.0,566.05,590.5,8586
2000-04-07,590.5,605.0,610.0,580.0,597.35,9008
2000-04-10,597.35,601.0,607.9,572.2,581.45,8021
2000-04-11,581.45,572.2,588.0,570.0,577.9,9696
