Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,1349.4,1410.0,1457.35,1380.05,1457.35,21060
2000-01-04,1457.35,1537.0,1537.0,1430.0,1465.25,30215
2000-01-05,1465.25,1474.0,1474.0,1365.0,1435.05,33799
2000-01-06,1435.05,1434.0,1435.0,1349.0,1355.85,33083
2000-01-07,1355.85,1370.0,1389.9,1247.4,1247.55,66536
2000-01-10,1247.55,1288.0,1299.0,1191.0,1205.9,105912
2000-01-11,1205.9,1225.0,1225.0,1109.45,1114.25,186975
2000-01-12,1114.25,1185.0,1203.4,1185.0,1203.4,7416
2000-01-13,1203.4,1299.7,1299.7,1281.2,1297.05,90379
2000-01-14,1297.05,1299.0,1304.55,1220.0,1280.7,70729
2000-01-17,1280.7,1335.0,1340.0,1250.15,1270.05,54938
2000-01-18,1270.05,1294.0,1294.0,1200.0,1220.15,51691
2000-01-19,1220.15,1175.0,1219.9,1132.0,1203.85,132669
2000-01-20,1203.85,1205.0,1223.0,1201.0,1208.8,44602
2000-01-21,1208.8,1210.0,1210.0,1160.0,1201.1,43168
2000-01-24,1201.1,1218.0,1223.9,1185.0,1212.0,67930
2000-01-25,1212.0,1195.0,1208.0,1176.05,1194.3,65851
2000-01-27,1194.3,1225.0,1225.0,1185.0,1190.3,33549
2000-01-28,1190.3,1210.0,1215.0,1171.0,1183.75,25834
2000-01-31,1183.75,1162.0,1184.9,1155.0,1173.1,30473
2000-02-01,1173.1,1185.0,1232.0,1160.0,1219.5,57336
2000-02-02,1219.5,1249.0,1295.0,1240.0,1270.85,67545
2000-02-03,1270.85,1289.0,1298.95,1235.0,1243.4,29108
2000-02-04,1243.4,1245.0,1250.0,1196.15,1216.15,30288
2000-02-07,1216.15,1220.0,1245.0,1195.0,1220.8,79074
2000-02-08,1220.8,1201.0,1234.5,1185.25,1205.65,67366
2000-02-09,1205.65,1235.0,1265.0,1211.0,1218.15,28941
2000-02-10,1218.15,1200.0,1212.0,1185.0,1197.6,28527
2000-02-11,1197.6,1200.0,1200.0,1150.0,1165.65,22600
2000-02-14,1165.65,1155.0,1169.0,1100.0,1152.45,56818
2000-02-15,1152.45,1131.0,1159.0,1120.0,1151.8,36573
2000-02-16,1151.8,1165.0,1180.0,1150.0,1164.75,12340
2000-02-17,1164.75,1194.0,1257.95,1158.0,1257.85,68138
2000-02-18,1257.85,1288.7,1288.7,1185.0,1201.15,79506
2000-02-21,1201.15,1215.0,1238.0,1140.0,1166.7,50159
2000-02-22,1166.7,1160.0,1180.0,1111.0,1126.75,57839
2000-02-23,1126.75,1174.0,1200.0,1135.0,1143.35,38763
2000-02-24,1143.35,1135.0,1169.0,1135.0,1149.55,20743
2000-02-25,1149.55,1139.9,1145.0,1120.0,1134.75,14091
2000-02-28,1134.75,1100.0,1224.0,1100.0,1195.45,56151
2000-02-29,1195.45,1206.0,1260.0,1099.9,1149.5,78176
2000-03-01,1149.5,1135.0,1135.0,1057.55,1057.55,33000
2000-03-02,1057.55,1002.65,1026.0,972.95,972.95,42539
2000-03-03,972.95,895.15,965.0,895.15,895.15,49805
2000-03-06,895.15,876.0,950.0,871.0,929.65,81737
2000-03-07,929.65,957.0,957.0,890.0,924.7,80666
2000-03-08,924.7,949.0,982.0,899.9,927.4,45283
2000-03-09,927.4,929.0,945.0,880.0,901.4,27056
2000-03-10,901.4,955.0,973.55,900.0,973.55,43348
2000-03-13,973.55,990.0,1051.45,988.0,1051.45,17374
2000-03-14,1051.45,1060.0,1135.6,990.0,1135.6,58944
2000-03-15,1135.6,1224.0,1226.45,1125.0,1150.4,94629
2000-03-16,1150.4,1175.0,1175.0,1060.0,1063.25,30595
2000-03-21,1063.25,1099.0,1148.35,1049.0,1135.15,77800
2000-03-22,1135.15,1151.0,1185.0,1120.0,1167.9,57847
2000-03-23,1167.9,1155.0,1180.0,1121.0,1165.15,34038
2000-03-24,1165.15,1130.2,1169.0,1086.0,1118.15,21160
2000-03-27,1118.15,1130.0,1132.0,1029.0,1064.4,24831
2000-03-28,1064.4,1040.0,1069.45,1000.0,1027.6,24788
2000-03-29,1027.6,1087.0,1095.0,1035.0,1048.4,26846
2000-03-30,1048.4,1022.05,1069.0,1011.0,1050.8,30069
2000-03-31,1050.8,1075.0,1134.9,1025.0,1133.35,71545
2000-04-03,1133.35,1179.0,1224.05,1141.0,1201.1,139235
2000-04-04,1201.1,1160.0,1223.9,1106.15,1161.45,159063
2000-04-05,1161.45,1170.0,1211.0,1160.0,1169.3,65156
2000-04-06,1169.3,1185.95,1185.95,1105.0,1148.35,85650
2000-04-07,1148.35,1150.0,1240.25,1141.0,1239.45,110151
2000-04-10,1239.45,1250.0,1332.7,1250.0,1301.55,127638
2000-04-11,1301.55,1270.0,1310.0,1231.3,1298.7,84750
2000-04-12,1298.7,1300.0,1300.0,1225.0,1238.0,27217
2000-04-13,1238.0,1222.3,1230.0,1160.0,1212.9,57937
2000-04-17,1212.9,1182.0,1182.0,1116.0,1133.15,66742
