Date,Open,High,Low,Close,Volume
03/01/00,1505,1508.25,1505,1508.25,13280
04/01/00,1590,1628.95,1510,1628.95,57142
05/01/00,1549,1650,1499,1568.05,119697
06/01/00,1599,1693.5,1571,1661.55,121966
07/01/00,1685,1685,1528.65,1529.1,79641
10/01/00,1560,1560,1407.5,1503.9,62612
11/01/00,1512,1529,1384,1446.6,89184
12/01/00,1460,1540,1460,1490.9,31611
13/01/00,1485,1545,1461,1477.45,39753
14/01/00,1470.05,1510,1412,1473.5,46272
17/01/00,1515,1570,1495,1508.75,67750
18/01/00,1475,1475,1431.05,1450.35,44008
19/01/00,1490,1566.4,1465,1566.4,77430
20/01/00,1600,1649.75,1515.05,1537.05,225319
21/01/00,1580,1580,1530,1551.5,57911
24/01/00,1580,1590,1510.1,1521,54652
25/01/00,1480,1519,1445,1453.85,77439
27/01/00,1485,1549,1460,1470.35,114477
28/01/00,1484,1492,1410,1428.9,78901
31/01/00,1440,1450,1350,1366.8,39291
01/02/00,1350,1419,1333,1400.25,88075
02/02/00,1459,1512.3,1450,1496,104003
03/02/00,1510,1534.8,1480,1490.35,35746
04/02/00,1510,1550,1466.05,1481.1,29143
07/02/00,1445,1462,1362.65,1364.1,75093
08/02/00,1320,1400,1320,1387.95,69268
09/02/00,1481,1481,1400,1413.25,37295
10/02/00,1400,1430,1399,1418.2,13794
11/02/00,1431.5,1431.5,1381,1412.5,24390
14/02/00,1386,1409.9,1350,1362.15,22131
15/02/00,1350,1390,1325,1350.85,42801
16/02/00,1355,1399,1355,1379.2,16216
17/02/00,1402,1489.55,1402,1489.55,8828
18/02/00,1608.75,1608.75,1608.75,1608.75,51904
21/02/00,1700,1721,1541.05,1573.25,88857
22/02/00,1540,1579,1461,1473,63311
23/02/00,1575,1590.85,1555,1590.85,48977
24/02/00,1649,1649.5,1500.1,1568.95,49819
25/02/00,1580,1600,1534,1555.25,44068
28/02/00,1570,1679.7,1553,1669.5,118657
29/02/00,1700,1803,1535.95,1550.05,110112
01/03/00,1580,1580,1426.05,1527,256491
02/03/00,1549,1550,1404.85,1405.8,92002
03/03/00,1350,1350,1293.35,1293.35,87171
06/03/00,1300,1360,1276.5,1313.6,80414
07/03/00,1300.05,1418.7,1282,1417.05,103067
08/03/00,1448.85,1448.85,1304,1315,50355
09/03/00,1310,1329,1209.8,1209.8,53164
10/03/00,1250,1306.6,1202.1,1306.4,58059
13/03/00,1350,1410.95,1350,1410.95,15205
14/03/00,1480,1523.85,1445,1523.85,76430
15/03/00,1618,1645.8,1535,1570.35,148160
16/03/00,1545,1545,1444.75,1445.75,58404
21/03/00,1480,1561.45,1469,1561,76286
22/03/00,1600,1685.9,1600,1685.9,62767
23/03/00,1797.9,1797.9,1551.05,1608.15,180393
24/03/00,1561.2,1697,1549,1651.55,69655
27/03/00,1680,1749,1605,1721.95,65475
28/03/00,1700,1700,1584.2,1584.2,37040
29/03/00,1580,1580,1457.5,1457.5,63832
30/03/00,1405,1540,1365,1513.05,130023
31/03/00,1415,1634.1,1415,1632.35,165627
03/04/00,1635,1717,1520,1549.35,182077
04/04/00,1515,1550,1425.4,1425.4,96542
05/04/00,1426,1518,1410,1444.05,81409
06/04/00,1479,1499,1330.1,1422.5,76153
07/04/00,1468,1536.3,1445,1535.25,133646
10/04/00,1565,1652.9,1565,1628.35,195456
11/04/00,1585,1619.9,1550,1606.15,61289
12/04/00,1605,1605,1551,1566.35,37954
13/04/00,1551,1589.8,1481.1,1556.85,81538
17/04/00,1511.1,1511.1,1432.3,1432.3,64587
18/04/00,1435.5,1500,1365.05,1388.35,100722
19/04/00,1411.1,1465,1326,1380,85109
20/04/00,1286,1352,1269.6,1316.15,86853
24/04/00,1305,1420,1255.1,1375.7,109903
25/04/00,1360,1360,1265.65,1286.4,90473
26/04/00,1360,1389.35,1325,1384.25,69857
27/04/00,1355.1,1400,1295,1307.5,63129
28/04/00,1318,1338,1256,1291.3,62008
02/05/00,1320,1320,1136.35,1136.45,77352
03/05/00,1120,1227.4,1045.55,1206.45,110445
04/05/00,1270,1332,1270,1289.2,96803
05/05/00,1313,1349.9,1282,1336.65,84124
08/05/00,1398,1398,1290,1324.65,66200
09/05/00,1325.1,1392,1276,1381.15,60822
10/05/00,1389.9,1389.9,1290,1303.95,52363
11/05/00,1290.25,1318.9,1255,1279.45,37386
12/05/00,1310,1322,1252,1264.5,53286
15/05/00,1227,1264,1163.5,1244.6,53265
16/05/00,1240,1389.5,1240,1372.85,87989
