Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,45.2,48.0,48.85,48.0,48.85,4100
2000-01-04,48.85,52.0,52.75,50.15,51.4,49100
2000-01-05,51.4,55.0,55.55,51.05,55.55,47800
2000-01-06,55.55,59.75,60.0,57.3,60.0,106200
2000-01-07,60.0,64.0,64.8,60.1,64.65,115500
2000-01-10,64.65,67.95,68.5,61.5,65.5,107100
2000-01-11,65.5,62.8,64.0,60.3,61.6,107700
2000-01-12,61.6,62.0,65.25,61.15,63.95,62200
2000-01-13,63.95,65.0,66.0,60.45,61.25,83300
2000-01-14,61.25,64.9,64.95,60.3,62.35,36100
2000-01-17,62.35,64.0,67.35,64.0,65.25,114100
2000-01-18,65.25,65.55,66.5,62.5,65.55,75600
2000-01-19,65.55,67.0,67.5,64.1,66.05,58100
2000-01-20,66.05,66.0,67.0,61.6,62.4,30900
2000-01-21,62.4,61.15,63.9,61.1,63.25,21500
2000-01-24,63.25,62.0,62.0,58.5,59.9,37900
2000-01-25,59.9,57.1,58.5,56.05,56.95,40200
2000-01-27,56.95,57.95,57.95,56.0,57.05,28400
2000-01-28,57.05,56.0,56.95,55.1,55.4,15600
2000-01-31,55.4,54.1,55.3,51.0,51.55,12700
2000-02-01,51.55,49.1,52.8,49.1,51.4,27500
2000-02-02,51.4,54.9,55.55,53.0,55.55,56500
2000-02-03,55.55,55.5,60.0,55.5,58.85,16200
2000-02-04,58.85,61.0,63.6,60.5,63.6,55300
2000-02-07,63.6,64.0,64.0,60.1,60.45,21000
2000-02-08,60.45,56.0,60.0,56.0,57.35,21600
2000-02-09,57.35,59.95,59.95,54.15,55.25,19500
2000-02-10,55.25,57.5,57.7,54.0,56.55,9700
2000-02-11,56.55,54.35,56.5,54.3,55.0,3900
2000-02-14,55.0,53.0,54.0,51.1,52.4,6500
2000-02-15,52.4,51.0,53.0,48.5,49.1,17500
2000-02-16,49.1,52.0,52.0,45.3,45.5,34600
2000-02-17,45.5,46.4,49.0,46.2,46.5,30800
2000-02-18,46.5,45.7,47.7,45.1,45.9,14600
2000-02-21,45.9,44.5,46.7,44.0,45.8,15000
2000-02-22,45.8,45.9,46.0,43.5,44.65,22600
2000-02-23,44.65,48.0,48.0,43.1,43.1,25500
2000-02-24,43.1,41.0,44.6,39.7,40.75,15600
2000-02-25,40.75,41.0,42.0,38.7,40.75,11500
2000-02-28,40.75,40.0,44.0,40.0,43.6,16100
2000-02-29,43.6,46.0,46.0,41.0,41.1,23700
2000-03-01,41.1,43.0,43.65,41.0,42.45,14100
2000-03-02,42.45,41.25,42.5,41.0,41.65,16500
2000-03-03,41.65,44.0,44.0,39.6,41.25,17000
2000-03-06,41.25,41.95,41.95,37.95,37.95,19400
2000-03-07,37.95,35.2,36.9,34.95,34.95,15000
2000-03-08,34.95,32.5,34.5,32.15,32.35,28100
2000-03-09,32.35,33.35,33.5,29.8,31.15,28400
2000-03-10,31.15,30.05,32.85,30.05,31.15,9200
2000-03-13,31.15,32.45,32.45,29.0,30.6,19200
2000-03-14,30.6,31.6,31.6,29.0,29.6,31900
2000-03-15,29.6,32.0,32.0,32.0,32.0,1500
2000-03-16,32.0,34.55,34.6,34.55,34.6,12100
2000-03-21,34.6,34.9,37.4,34.9,37.4,20700
2000-03-22,37.4,39.0,40.4,39.0,40.4,1500
2000-03-23,40.4,43.6,43.65,40.0,41.8,27500
2000-03-24,41.8,41.5,41.5,38.5,40.6,8275
2000-03-27,40.6,41.0,43.0,41.0,41.55,9785
2000-03-28,41.55,42.55,42.55,40.0,40.7,21350
2000-03-29,40.7,43.0,43.0,40.75,41.0,6800
2000-03-30,41.0,40.9,41.8,38.55,40.0,6001
2000-03-31,40.0,41.15,43.2,39.0,42.6,3699
2000-04-03,42.6,42.0,43.0,41.95,42.35,7950
2000-04-04,42.35,42.0,42.0,39.0,39.0,8110
2000-04-05,39.0,39.0,40.75,37.0,38.1,5850
2000-04-06,38.1,38.55,39.0,35.15,37.15,31575
2000-04-07,37.15,37.25,40.15,37.25,40.15,6050
2000-04-10,40.15,39.4,41.5,39.4,40.8,4103
2000-04-11,40.8,39.2,41.0,39.0,40.55,8419
2000-04-12,40.55,40.75,43.0,40.0,42.0,10300
2000-04-13,42.0,41.1,42.5,41.05,41.2,3869
2000-04-17,41.2,41.0,41.95,38.8,41.7,3735
2000-04-18,41.7,41.5,43.8,41.5,43.15,6123
2000-04-19,43.15,43.5,46.4,42.0,43.65,7800
2000-04-20,43.65,42.65,42.7,41.25,42.45,4831
2000-04-24,42.45,43.0,43.0,39.1,39.7,8930
2000-04-25,39.7,38.5,39.75,38.0,39.7,6009
2000-04-26,39.7,39.65,41.0,39.65,40.25,13350
2000-04-27,40.25,42.35,42.35,39.75,39.8,3804
2000-04-28,39.8,39.1,39.15,37.15,37.95,6149
2000-05-02,37.95,38.0,38.0,35.7,36.45,11056
2000-05-03,36.45,34.05,35.0,34.0,34.55,4315
2000-05-04,34.55,34.5,36.95,34.5,35.95,3100
2000-05-05,35.95,37.35,37.45,36.15,36.95,3050
2000-05-08,36.95,35.9,38.0,35.35,38.0,2300
2000-05-09,38.0,37.4,39.0,36.65,38.0,3315
2000-05-10,38.0,37.35,38.3,37.35,37.85,2501
2000-05-11,37.85,37.9,39.0,37.15,38.15,2101
2000-05-12,38.15,38.45,39.35,37.0,37.9,4000
2000-05-15,37.9,37.5,39.0,36.0,38.45,4115
2000-05-16,38.45,38.0,39.75,37.15,38.15,15705
2000-05-17,38.15,40.0,40.0,37.0,37.1,2741
2000-05-18,37.1,37.0,37.9,37.0,37.0,550
2000-05-19,37.0,38.0,38.0,36.5,37.0,820
2000-05-22,37.0,38.0,38.0,36.15,36.15,2200
2000-05-23,36.15,37.5,38.0,36.25,37.5,1820
2000-05-24,37.5,36.05,36.5,34.5,34.55,14010
2000-05-25,34.55,35.7,35.7,33.05,33.55,13620
2000-05-26,33.55,33.5,33.7,33.1,33.3,6316
2000-05-29,33.3,34.0,36.0,34.0,36.0,6570
2000-05-30,36.0,37.0,38.9,36.0,38.9,42794
2000-05-31,38.9,42.0,42.0,40.5,40.9,39326
2000-06-01,40.9,39.1,40.7,38.05,38.35,5928
2000-06-02,38.35,39.05,39.2,37.1,37.45,4321
2000-06-05,37.45,38.0,38.95,38.0,38.15,4650
2000-06-06,38.15,37.0,38.0,36.2,36.6,10656
2000-06-07,36.6,37.5,37.5,36.2,36.45,4027
2000-06-08,36.45,37.35,37.45,36.1,37.0,2450
2000-06-09,37.0,36.5,37.75,36.5,37.35,3285
2000-06-12,37.35,35.0,37.5,35.0,37.5,1950
2000-06-13,37.5,36.0,37.5,36.0,36.9,4327
2000-06-14,36.9,37.1,37.15,36.5,36.95,3040
2000-06-15,36.95,37.0,37.0,36.1,36.5,1610
2000-06-16,36.5,35.55,36.9,35.55,36.5,3040
2000-06-19,36.5,36.2,36.2,35.25,35.5,970
2000-06-20,35.5,35.55,35.85,34.8,35.0,4715
2000-06-21,35.0,35.0,35.8,34.6,35.25,4424
2000-06-22,35.25,35.1,35.5,34.65,34.65,1112
2000-06-23,34.65,35.5,35.55,34.4,34.75,2060
2000-06-26,34.75,34.95,35.0,34.1,34.75,1950
2000-06-27,34.75,35.0,35.9,34.1,34.7,4896
2000-06-28,34.7,35.75,36.9,35.5,35.75,1001
2000-06-29,35.75,34.95,35.75,34.95,35.5,1514
2000-06-30,35.5,35.75,35.75,34.5,34.85,4350
2000-07-03,34.85,35.0,35.2,34.55,35.0,2601
2000-07-04,35.0,34.4,35.2,34.4,35.05,5705
2000-07-05,35.05,35.9,36.0,33.7,35.35,4100
2000-07-06,35.35,35.5,35.5,34.15,34.2,3485
2000-07-07,34.2,34.0,34.25,33.75,33.95,2550
2000-07-10,33.95,33.5,33.85,32.55,32.7,1882
2000-07-11,32.7,33.0,33.2,32.55,32.85,3430
2000-07-12,32.85,33.25,35.5,33.25,35.15,7900
2000-07-13,35.15,34.25,34.25,33.6,33.6,2200
2000-07-14,33.6,34.8,34.8,33.6,33.9,2200
2000-07-17,33.9,31.3,34.0,31.2,32.6,4946
2000-07-18,32.6,33.0,33.0,31.6,32.05,4995
2000-07-19,32.05,32.7,34.0,32.65,33.65,4420
2000-07-20,33.65,33.1,33.75,33.0,33.1,1600
2000-07-21,33.1,32.55,35.0,32.4,33.45,4695
2000-07-24,33.45,31.3,32.45,30.8,30.8,4812
2000-07-25,30.8,29.2,30.5,29.1,30.1,5394
2000-07-26,30.1,31.6,32.55,31.6,32.55,4350
2000-07-27,32.55,34.4,34.4,31.35,32.05,5838
2000-07-28,32.05,31.65,31.65,31.0,31.1,3700
2000-07-31,31.1,31.0,31.4,30.0,30.5,2920
2000-08-01,30.5,30.8,30.8,29.15,29.35,7644
2000-08-02,29.35,28.4,29.0,28.3,29.0,5210
2000-08-03,29.0,28.95,29.35,28.5,28.6,3681
2000-08-04,28.6,28.9,28.9,28.1,28.5,2334
2000-08-07,28.5,27.5,28.15,27.5,27.75,1535
2000-08-08,27.75,28.65,28.9,27.15,27.45,2963
2000-08-09,27.45,27.85,28.8,27.85,28.0,644
2000-08-10,28.0,28.0,28.0,27.6,28.0,589
2000-08-11,28.0,28.4,28.45,27.5,27.7,1685
2000-08-14,27.7,29.65,29.9,27.75,28.1,4655
2000-08-16,28.1,29.65,29.8,27.25,27.9,3121
2000-08-17,27.9,28.0,28.5,26.0,26.95,9721
2000-08-18,26.95,26.3,27.1,26.3,26.6,1350
2000-08-21,26.6,26.3,27.1,26.0,26.55,2475
2000-08-22,26.55,27.25,27.4,26.6,26.7,3000
2000-08-23,26.7,27.85,27.85,26.75,27.3,2084
2000-08-24,27.3,27.65,28.0,26.75,27.9,3450
2000-08-25,27.9,28.2,28.25,27.1,28.0,1637
2000-08-28,28.0,28.25,28.25,27.0,27.0,600
2000-08-29,27.0,27.95,28.25,27.0,28.0,4079
2000-08-30,28.0,28.0,28.4,26.95,26.95,8000
2000-08-31,26.95,27.25,27.5,27.0,27.45,2000
2000-09-04,27.45,27.0,27.8,26.15,26.25,3155
2000-09-05,26.25,26.15,26.4,24.5,24.65,37252
2000-09-06,24.65,25.9,26.65,25.05,26.0,10200
2000-09-07,26.0,26.45,26.85,23.95,24.85,23295
2000-09-08,24.85,24.9,25.4,24.5,24.65,13575
2000-09-11,24.65,24.8,25.1,24.8,25.0,8876
2000-09-12,25.0,24.55,25.3,24.4,25.15,7180
2000-09-13,25.15,24.25,25.9,24.1,25.5,5050
2000-09-14,25.5,25.0,25.5,23.85,23.95,15525
2000-09-15,23.95,24.25,24.25,23.55,23.65,3220
2000-09-18,23.65,23.2,23.7,22.95,23.0,5581
2000-09-19,23.0,22.7,23.35,22.05,22.3,7350
2000-09-20,22.3,23.0,23.5,22.75,23.45,2600
2000-09-21,23.45,23.2,23.6,23.0,23.0,1985
2000-09-22,23.0,23.7,23.7,22.3,22.4,2300
2000-09-25,22.4,21.05,23.0,21.0,22.95,3929
2000-09-26,22.95,23.7,23.7,22.75,23.2,3940
2000-09-27,23.2,23.35,23.35,22.35,23.05,469
2000-09-28,23.05,22.35,23.15,22.3,22.65,2593
2000-09-29,22.65,23.0,23.25,22.45,22.75,4266
2000-10-03,22.75,21.9,22.75,21.65,21.75,4931
2000-10-04,21.75,22.75,22.8,22.15,22.8,5475
2000-10-05,22.8,22.65,22.95,22.55,22.9,1470
2000-10-06,22.9,22.5,24.6,22.5,24.05,4276
2000-10-09,24.05,23.55,24.6,23.0,24.0,9921
2000-10-10,24.0,24.0,24.4,23.05,23.7,4835
2000-10-11,23.7,25.2,25.2,23.1,23.5,2391
2000-10-12,23.5,23.4,24.25,23.2,24.0,5556
2000-10-13,24.0,24.0,24.0,22.1,22.4,10074
2000-10-16,22.4,22.6,23.2,22.6,22.7,4554
2000-10-17,22.7,22.2,22.65,21.5,21.55,4745
2000-10-18,21.55,22.0,22.85,21.9,22.2,1200
2000-10-19,22.2,21.95,23.0,21.1,22.95,5456
2000-10-20,22.95,23.2,23.75,22.5,23.45,3138
2000-10-23,23.45,22.15,23.8,22.15,22.9,1990
2000-10-24,22.9,23.5,23.5,22.35,22.6,3525
2000-10-25,22.6,23.5,24.4,23.05,24.15,9210
2000-10-26,24.15,23.5,25.4,23.5,24.3,600
2000-10-27,24.3,24.7,26.25,24.0,25.5,9123
2000-10-30,25.5,25.2,25.6,24.8,24.9,2085
2000-10-31,24.9,24.5,25.25,23.9,24.3,6603
2000-11-01,24.3,25.75,25.75,24.75,25.35,3815
2000-11-02,25.35,25.2,26.05,25.2,25.9,5651
2000-11-03,25.9,25.45,27.95,25.45,27.8,14165
2000-11-06,27.8,27.5,28.1,26.5,26.9,7465
2000-11-07,26.9,26.75,27.25,26.0,26.15,9604
2000-11-08,26.15,27.25,27.3,25.6,25.9,6800
2000-11-09,25.9,25.2,25.75,25.0,25.35,3065
2000-11-10,25.35,24.7,24.95,23.35,24.45,13030
2000-11-13,24.45,24.0,24.15,23.55,23.7,2765
2000-11-14,23.7,23.6,24.5,23.55,23.8,6281
2000-11-15,23.8,24.85,24.85,23.3,23.7,6500
2000-11-16,23.7,23.6,23.8,23.45,23.7,1960
2000-11-17,23.7,23.8,23.9,23.55,23.85,2985
2000-11-20,23.85,23.8,24.25,23.8,24.1,5100
2000-11-21,24.1,23.75,24.65,23.7,24.35,4430
2000-11-22,24.35,23.8,24.5,23.8,24.15,2201
2000-11-23,24.15,24.2,24.5,24.0,24.3,6099
2000-11-24,24.3,24.5,24.7,24.3,24.6,5301
2000-11-27,24.6,24.35,25.35,24.35,25.0,7741
2000-11-28,25.0,24.1,25.35,24.05,25.0,22056
2000-11-29,25.0,25.7,25.85,25.15,25.55,7100
2000-11-30,25.55,25.2,25.5,25.0,25.25,3700
2000-12-01,25.25,25.5,25.5,25.0,25.3,2750
2000-12-04,25.3,25.1,25.75,25.1,25.5,4573
2000-12-05,25.5,25.85,26.7,25.75,26.2,6099
2000-12-06,26.2,27.0,27.8,26.55,27.0,14235
2000-12-07,27.0,27.75,28.0,27.05,27.8,5819
2000-12-08,27.8,27.95,30.05,27.95,30.05,16566
2000-12-11,30.05,29.55,31.0,29.55,30.7,14311
2000-12-12,30.7,29.5,30.25,28.95,29.3,13008
2000-12-13,29.3,29.9,30.65,29.9,30.2,7584
2000-12-14,30.2,29.5,30.0,28.25,28.65,9833
2000-12-15,28.65,28.7,28.95,27.75,27.9,8530
2000-12-18,27.9,26.55,28.3,26.55,28.0,3585
2000-12-19,28.0,27.55,28.25,26.5,26.55,7210
2000-12-20,26.55,26.5,27.9,25.1,26.5,4113
2000-12-21,26.5,25.8,26.65,25.8,26.3,3535
2000-12-22,26.3,26.45,27.3,25.75,25.8,2950
2000-12-26,25.8,25.75,26.0,25.1,25.6,7125
2000-12-27,25.6,25.55,26.4,25.55,26.35,1004
2000-12-28,26.35,27.4,28.0,26.9,27.65,5721
2000-12-29,27.65,27.5,28.1,27.05,27.6,4700
2001-01-01,27.6,27.4,28.0,27.35,28.0,1929
2001-01-02,28.0,27.55,29.5,27.55,28.7,8493
2001-01-03,28.7,28.4,30.0,28.4,29.4,7820
2001-01-04,29.4,29.5,29.95,29.0,29.0,5100
2001-01-05,29.0,28.95,29.5,28.1,29.5,7493
2001-01-08,29.5,29.8,30.0,29.3,29.5,17225
2001-01-09,29.5,30.0,30.0,29.15,29.85,17169
2001-01-10,29.85,30.0,30.05,28.5,29.65,2075
2001-01-11,29.65,29.05,29.65,28.9,29.5,7325
2001-01-12,29.5,28.15,29.0,28.15,28.95,3770
2001-01-15,28.95,28.5,29.5,28.5,29.5,18300
2001-01-16,29.5,30.0,30.0,29.1,29.4,13115
2001-01-17,29.4,29.0,30.0,29.0,29.35,13350
2001-01-18,29.35,29.05,29.85,29.05,29.4,2742
2001-01-19,29.4,29.2,30.35,29.0,30.0,6890
2001-01-22,30.0,30.0,31.0,29.7,29.75,15400
2001-01-23,29.75,29.5,30.25,29.5,29.75,10541
2001-01-24,29.75,30.2,30.2,29.0,30.0,5445
2001-01-25,30.0,30.0,30.0,29.15,30.0,5531
2001-01-29,30.0,29.0,29.8,28.55,29.4,5286
2001-01-30,29.4,28.55,29.8,28.5,29.35,6540
2001-01-31,29.35,29.05,29.4,29.0,29.1,3330
2001-02-01,29.1,28.5,29.0,28.45,28.7,11266
2001-02-02,28.7,29.5,29.75,29.0,29.75,11726
2001-02-05,29.75,29.0,29.15,28.25,29.15,3535
2001-02-06,29.15,29.75,31.4,29.5,30.6,7037
2001-02-07,30.6,30.7,31.4,30.0,30.4,13659
2001-02-08,30.4,30.6,30.7,30.0,30.1,5900
2001-02-09,30.1,30.0,30.75,29.35,30.15,18764
2001-02-12,30.15,30.55,30.8,29.55,29.6,9144
2001-02-13,29.6,29.55,30.0,29.5,29.65,13382
2001-02-14,29.65,29.95,32.0,29.5,31.55,9300
2001-02-15,31.55,32.0,34.1,31.25,33.55,49328
2001-02-16,33.55,34.5,34.95,31.5,32.55,43510
2001-02-19,32.55,30.0,32.8,30.0,31.25,29449
2001-02-20,31.25,31.25,32.5,30.4,31.0,29570
2001-02-21,31.0,31.9,31.9,29.95,30.15,14393
2001-02-22,30.15,30.05,30.3,29.7,29.95,15513
2001-02-23,29.95,30.0,30.35,29.0,29.3,23362
2001-02-26,29.3,28.5,30.0,28.4,29.3,12525
2001-02-27,29.3,29.85,31.65,28.8,30.5,32349
2001-02-28,30.5,31.45,32.9,30.5,30.9,26350
2001-03-01,30.9,31.0,32.0,30.0,30.3,10195
2001-03-02,30.3,30.25,31.0,29.1,29.1,13230
2001-03-05,29.1,29.1,29.15,27.25,27.3,29231
2001-03-07,27.3,27.9,28.1,25.75,27.5,11900
2001-03-08,27.5,27.25,27.75,27.0,27.5,2895
2001-03-09,27.5,26.0,27.3,25.65,26.6,10138
2001-03-12,26.6,27.0,28.2,25.25,25.95,8982
2001-03-13,25.95,23.95,24.95,23.95,23.95,16721
2001-03-14,23.95,25.4,25.8,25.0,25.65,5800
2001-03-15,25.65,25.25,26.4,24.1,26.4,1300
2001-03-16,26.4,27.0,27.0,25.25,26.0,2276
2001-03-19,26.0,26.0,26.0,24.75,24.85,3899
2001-03-20,24.85,25.0,25.0,23.75,23.95,25285
2001-03-21,23.95,24.15,24.5,24.0,24.5,850
2001-03-22,24.5,24.85,24.9,24.35,24.6,1370
2001-03-23,24.6,24.35,24.4,24.25,24.25,2570
2001-03-26,24.25,23.3,24.9,23.0,24.9,300
2001-03-27,24.9,24.3,24.7,24.15,24.35,3065
2001-03-28,24.35,24.05,25.0,24.0,24.1,3829
2001-03-29,24.1,23.8,23.9,23.5,23.5,5098
2001-03-30,23.5,23.15,23.65,22.9,23.25,2650
2001-04-02,23.25,22.35,22.85,22.0,22.5,4164
2001-04-03,22.5,23.2,23.2,22.2,22.75,3235
2001-04-04,22.75,23.8,23.8,23.3,23.35,1871
2001-04-06,23.35,23.25,23.8,23.2,23.8,1000
2001-04-09,23.8,24.9,24.9,23.25,23.85,1600
2001-04-10,23.85,23.85,23.85,23.0,23.85,4785
2001-04-11,23.85,24.0,24.0,23.3,23.35,1637
2001-04-12,23.35,22.35,23.65,22.35,23.0,3290
2001-04-16,23.0,22.15,22.65,22.0,22.5,4240
2001-04-17,22.5,22.9,22.9,22.5,22.55,5408
2001-04-18,22.55,23.9,23.9,23.0,23.7,8768
2001-04-19,23.7,25.4,25.4,22.5,23.0,8256
2001-04-20,23.0,22.95,23.25,22.6,22.85,1274
2001-04-23,22.85,23.0,23.8,22.6,23.2,6866
2001-04-24,23.2,23.0,23.75,22.65,23.15,16996
2001-04-25,23.15,23.0,23.55,22.7,23.2,13378
2001-04-26,23.2,23.6,24.4,23.4,23.95,6608
2001-04-27,23.95,23.2,23.2,22.15,22.5,9193
2001-04-30,22.5,22.0,22.45,21.2,22.1,11905
2001-05-02,22.1,22.5,22.5,21.7,21.7,14599
2001-05-03,21.7,21.75,22.35,21.75,22.0,4875
2001-05-04,22.0,22.25,22.25,21.85,21.85,4791
2001-05-07,21.85,22.5,22.5,21.5,21.9,3625
2001-05-08,21.9,22.0,22.85,22.0,22.65,2118
2001-05-09,22.65,23.2,24.5,21.9,22.6,117949
2001-05-10,22.6,22.9,24.0,22.5,22.95,34450
2001-05-11,22.95,24.2,24.8,24.0,24.8,150242
2001-05-14,24.8,23.65,26.55,23.65,25.1,64594
2001-05-15,25.1,23.65,25.45,23.3,24.8,31543
2001-05-16,24.8,26.4,26.4,24.4,24.5,67280
2001-05-17,24.5,24.9,24.9,23.35,23.55,41398
2001-05-18,23.55,23.3,24.5,23.25,23.75,25391
2001-05-21,23.75,24.05,24.15,23.5,23.9,9812
2001-05-22,23.9,23.45,23.8,23.1,23.35,14011
2001-05-23,23.35,23.5,24.3,23.5,24.2,26417
2001-05-24,24.2,24.05,24.35,23.7,23.7,6811
2001-05-25,23.7,23.5,24.0,23.5,23.85,10597
2001-05-28,23.85,23.8,24.05,23.65,23.95,17410
2001-05-29,23.95,23.8,24.3,23.8,23.85,18650
2001-05-30,23.85,25.75,25.75,23.75,23.9,18830
2001-05-31,23.9,23.8,24.0,23.6,24.0,5650
2001-06-01,24.0,23.65,24.3,23.65,24.0,18810
2001-06-04,24.0,23.75,24.0,23.4,23.65,17876
2001-06-05,23.65,23.5,23.5,23.05,23.1,21238
2001-06-06,23.1,23.5,23.85,23.0,23.15,7793
2001-06-07,23.15,23.65,23.65,23.1,23.3,4680
2001-06-08,23.3,23.35,23.6,23.1,23.55,4136
