Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,67.8,65.0,70.0,65.0,68.7,76055
2000-01-04,68.7,69.85,72.9,66.0,66.35,98097
2000-01-05,66.35,68.35,68.7,61.1,63.2,92690
2000-01-06,63.2,64.8,67.0,63.0,64.95,173654
2000-01-07,64.95,65.9,65.9,62.0,62.65,86590
2000-01-10,62.65,64.95,64.95,62.0,62.3,85104
2000-01-11,62.3,62.0,62.4,59.0,59.8,97101
2000-01-12,59.8,62.7,62.7,60.25,61.55,97974
2000-01-13,61.55,62.3,62.5,61.25,61.85,28151
2000-01-14,61.85,61.75,62.9,60.05,62.45,33125
2000-01-17,62.45,63.5,64.45,62.0,63.8,82245
2000-01-18,63.8,64.4,67.9,63.55,66.95,70485
2000-01-19,66.95,70.0,70.0,65.0,65.8,119332
2000-01-20,65.8,65.5,66.45,62.85,63.4,47088
2000-01-21,63.4,62.25,64.0,62.0,62.25,57404
2000-01-24,62.25,63.0,64.25,61.25,62.15,53436
2000-01-25,62.15,61.25,62.45,60.15,60.55,81899
2000-01-27,60.55,62.7,63.0,60.5,60.8,38220
2000-01-28,60.8,61.25,61.25,60.0,60.85,17670
2000-01-31,60.85,60.25,61.0,58.1,58.5,24481
2000-02-01,58.5,59.0,59.8,58.3,58.6,34865
2000-02-02,58.6,60.75,61.95,60.0,61.05,31500
2000-02-03,61.05,60.6,62.45,60.6,60.95,179501
2000-02-04,60.95,61.5,61.5,59.0,59.85,42005
2000-02-07,59.85,58.0,60.7,58.0,58.75,19835
2000-02-08,58.75,58.45,59.25,56.25,56.95,43484
2000-02-09,56.95,59.45,59.5,57.0,58.75,20148
2000-02-10,58.75,59.8,62.0,59.3,61.5,102515
2000-02-11,61.5,63.1,65.0,60.1,60.3,40995
2000-02-14,60.3,61.0,61.9,57.0,57.15,38631
2000-02-15,57.15,57.0,59.6,56.15,57.85,457722
2000-02-16,57.85,59.55,61.0,57.6,58.15,39696
2000-02-17,58.15,59.55,62.8,59.55,62.8,153868
2000-02-18,62.8,67.85,67.85,67.85,67.85,30848
2000-02-21,67.85,73.3,73.3,73.3,73.3,35708
2000-02-22,73.3,79.2,79.2,78.75,79.2,260024
2000-02-23,79.2,85.5,85.5,73.05,83.7,658407
2000-02-24,83.7,84.0,84.9,77.0,77.0,88980
2000-02-25,77.0,75.05,78.7,70.85,70.85,69660
