Date,Prev Close,Open,High,Low,Close,Volume
2000-01-11,580.0,1550.0,1725.0,1492.0,1554.45,1192200
2000-01-12,1554.45,1560.0,1678.85,1560.0,1678.85,344850
2000-01-13,1678.85,1790.0,1813.2,1781.0,1813.2,53000
2000-01-14,1813.2,1958.3,1958.3,1835.0,1958.3,270950
2000-01-17,1958.3,2115.0,2115.0,1801.65,1801.65,428800
2000-01-18,1801.65,1730.55,1815.0,1657.55,1774.5,359900
2000-01-19,1774.5,1815.0,1889.0,1760.0,1851.15,316050
2000-01-20,1851.15,1865.0,1865.0,1750.0,1757.85,204700
2000-01-21,1757.85,1761.0,1815.0,1705.0,1781.35,282150
2000-01-24,1781.35,1834.9,1923.9,1795.0,1923.9,328650
2000-01-25,1923.9,1990.0,2077.85,1990.0,2077.85,313500
2000-01-27,2077.85,2239.9,2239.9,1965.0,2080.6,352400
2000-01-28,2080.6,2100.0,2245.0,2020.2,2196.95,360800
2000-01-31,2196.95,2111.0,2200.0,2021.2,2030.4,217650
2000-02-01,2030.4,1981.2,2180.0,1981.2,2162.25,261000
2000-02-02,2162.25,2260.0,2260.0,2010.0,2024.25,326550
2000-02-03,2024.25,2075.0,2075.0,1915.2,1956.5,175800
2000-02-04,1956.5,1993.0,2064.0,1965.0,1986.6,176500
2000-02-07,1986.6,1985.0,2119.95,1960.05,2062.95,277850
2000-02-08,2062.95,2049.4,2060.0,1970.0,1999.2,199100
2000-02-09,1999.2,2100.0,2100.0,1975.0,1999.0,180500
2000-02-10,1999.0,1976.65,2014.8,1965.0,1996.75,76850
2000-02-11,1996.75,1998.0,2156.5,1992.0,2156.5,166150
2000-02-14,2156.5,2199.0,2329.05,2199.0,2324.7,265150
2000-02-15,2324.7,2350.0,2510.7,2210.0,2508.4,224500
2000-02-16,2508.4,2560.0,2560.0,2307.75,2423.1,260850
2000-02-17,2423.1,2445.0,2616.95,2380.0,2614.7,276550
2000-02-18,2614.7,2800.0,2823.9,2760.5,2775.95,173400
2000-02-21,2775.95,2823.0,2998.0,2725.0,2819.15,151800
2000-02-22,2819.15,2800.0,2875.0,2652.0,2700.3,88250
2000-02-23,2700.3,2825.0,2870.0,2484.3,2548.8,71250
2000-02-24,2548.8,2570.0,2650.0,2445.0,2464.1,67350
2000-02-25,2464.1,2498.0,2540.0,2280.0,2317.3,72050
2000-02-28,2317.3,2200.0,2300.0,2132.0,2262.75,67550
2000-02-29,2262.75,2325.0,2350.0,2081.75,2081.75,85100
2000-03-01,2081.75,2000.0,2248.3,1915.25,2248.3,217400
2000-03-02,2248.3,2399.0,2428.2,2350.0,2428.2,73000
2000-03-03,2428.2,2618.9,2622.5,2350.0,2443.6,144050
2000-03-06,2443.6,2500.0,2500.0,2248.15,2249.75,50200
2000-03-07,2249.75,2225.0,2269.0,2069.8,2069.8,74050
2000-03-08,2069.8,2000.0,2150.0,1940.0,1975.4,123150
2000-03-09,1975.4,1952.0,2085.0,1817.4,1911.55,141050
2000-03-10,1911.55,1902.0,1949.9,1770.0,1798.9,70000
2000-03-13,1798.9,1839.0,1915.0,1655.0,1655.0,95250
2000-03-14,1655.0,1650.0,1725.0,1522.6,1667.75,122700
2000-03-15,1667.75,1750.0,1801.2,1578.05,1801.2,38000
2000-03-16,1801.2,1945.0,1945.3,1945.0,1945.3,7750
2000-03-21,1945.3,2089.0,2100.95,2000.0,2100.95,67200
2000-03-22,2100.95,2269.05,2269.05,2269.05,2269.05,6900
2000-03-23,2269.05,2399.0,2450.0,2090.0,2148.35,74050
2000-03-24,2148.35,2055.0,2185.0,2031.0,2123.35,113100
2000-03-27,2123.35,2140.0,2205.0,1995.0,2102.6,87200
2000-03-28,2102.6,2082.0,2092.0,2000.0,2004.5,52250
2000-03-29,2004.5,2050.0,2098.0,2000.0,2023.15,79100
2000-03-30,2023.15,1950.0,1970.0,1861.3,1865.15,41750
2000-03-31,1865.15,1802.0,1803.0,1715.95,1722.05,88200
2000-04-03,1722.05,1799.0,1800.0,1584.3,1584.3,74100
2000-04-04,1584.3,1457.6,1457.6,1457.6,1457.6,17000
2000-04-05,1457.6,1341.0,1544.0,1341.0,1495.15,119800
2000-04-06,1495.15,1545.0,1614.8,1400.0,1598.5,105800
2000-04-07,1598.5,1698.0,1726.4,1698.0,1726.4,19300
2000-04-10,1726.4,1855.0,1864.55,1855.0,1864.55,22900
2000-04-11,1864.55,1864.55,2013.75,1720.0,1893.8,227450
2000-04-12,1893.8,1874.0,1944.0,1742.3,1755.4,90000
2000-04-13,1755.4,1617.2,1669.0,1615.0,1615.0,49150
2000-04-17,1615.0,1485.8,1485.8,1485.8,1485.8,850
2000-04-18,1485.8,1485.8,1550.0,1366.95,1377.55,169850
2000-04-19,1377.55,1449.0,1485.0,1267.35,1267.95,119350
2000-04-20,1267.95,1249.0,1369.4,1166.55,1346.75,232650
2000-04-24,1346.75,1400.0,1454.5,1400.0,1454.5,40950
2000-04-25,1454.5,1340.0,1570.9,1338.15,1536.45,217300
2000-04-26,1536.45,1649.0,1659.4,1577.0,1659.4,23700
2000-04-27,1659.4,1689.0,1709.0,1526.65,1526.65,84850
2000-04-28,1526.65,1534.5,1625.0,1425.0,1558.0,175650
2000-05-02,1558.0,1590.0,1590.0,1371.05,1371.05,56300
2000-05-03,1371.05,1262.0,1480.75,1206.55,1424.05,163300
2000-05-04,1424.05,1450.0,1585.0,1414.0,1530.55,149600
2000-05-05,1530.55,1550.0,1714.25,1540.0,1701.65,164250
2000-05-08,1701.65,1712.0,1809.0,1565.55,1604.6,137550
2000-05-09,1604.6,1568.2,1600.0,1481.1,1568.65,126250
2000-05-10,1568.65,1579.9,1629.85,1452.0,1474.3,81550
2000-05-11,1474.3,1362.05,1365.0,1297.4,1297.4,144450
2000-05-12,1297.4,1325.0,1325.0,1141.75,1156.4,218500
2000-05-15,1156.4,1110.0,1295.2,1032.0,1274.15,193100
2000-05-16,1274.15,1299.0,1376.1,1185.0,1361.05,161750
2000-05-17,1361.05,1420.0,1434.0,1252.2,1278.9,463250
2000-05-18,1278.9,1257.0,1320.0,1236.35,1271.45,194250
2000-05-19,1271.45,1251.0,1360.0,1181.0,1208.2,233300
2000-05-22,1208.2,1201.1,1215.0,1063.25,1093.85,146200
2000-05-23,1093.85,1025.0,1086.0,965.0,994.8,284300
2000-05-24,994.8,951.15,1074.4,926.0,1001.1,297350
2000-05-25,1001.1,1015.0,1081.0,1000.0,1018.5,295850
2000-05-26,1018.5,1015.0,1050.0,962.5,974.2,210550
2000-05-29,974.2,950.0,1039.0,902.0,984.9,217950
2000-05-30,984.9,998.0,1103.1,967.0,1097.7,215950
2000-05-31,1097.7,1185.5,1229.45,1185.5,1229.45,37350
2000-06-01,1229.45,1250.0,1250.0,1090.0,1122.15,373300
2000-06-02,1122.15,1159.0,1256.85,1155.0,1256.85,246450
2000-06-05,1256.85,1357.4,1407.7,1357.4,1391.9,215250
2000-06-06,1391.9,1430.0,1503.0,1360.0,1493.3,211600
2000-06-07,1493.3,1475.0,1549.0,1436.0,1475.75,161250
2000-06-08,1475.75,1500.0,1515.0,1385.1,1439.4,132550
2000-06-09,1439.4,1447.0,1447.0,1350.0,1394.8,95050
2000-06-12,1394.8,1414.0,1440.0,1325.0,1412.0,126900
2000-06-13,1412.0,1350.05,1365.0,1278.0,1335.95,180600
2000-06-14,1335.95,1374.0,1392.0,1317.1,1339.05,122650
2000-06-15,1339.05,1302.0,1365.0,1302.0,1337.65,65450
2000-06-16,1337.65,1336.0,1425.0,1332.0,1406.3,179700
2000-06-19,1406.3,1434.0,1499.0,1421.0,1459.6,103200
2000-06-20,1459.6,1468.65,1546.0,1450.0,1455.8,194950
2000-06-21,1455.8,1499.0,1499.9,1385.1,1394.95,71200
2000-06-22,1394.95,1391.0,1415.0,1366.25,1377.6,153100
2000-06-23,1377.6,1340.0,1354.95,1292.1,1305.15,126350
2000-06-26,1305.15,1251.0,1408.75,1207.15,1366.1,77600
2000-06-27,1366.1,1429.0,1450.0,1340.0,1364.25,87100
2000-06-28,1364.25,1325.0,1350.0,1285.0,1327.4,82950
2000-06-29,1327.4,1359.0,1390.0,1295.0,1329.2,101100
2000-06-30,1329.2,1281.0,1314.0,1274.0,1282.9,69400
2000-07-03,1282.9,1323.0,1345.0,1296.35,1331.7,60850
2000-07-04,1331.7,1342.0,1406.0,1333.1,1342.6,107900
2000-07-05,1342.6,1369.0,1384.0,1325.0,1333.45,59250
