Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,271.75,293.5,293.5,293.5,293.5,22744
2000-01-04,293.5,317.0,317.0,297.0,304.05,255251
2000-01-05,304.05,290.0,303.9,285.0,292.8,269087
2000-01-06,292.8,301.0,314.0,295.0,296.45,305916
2000-01-07,296.45,290.0,296.35,281.0,286.55,197039
2000-01-10,286.55,292.0,296.0,285.0,287.2,133363
2000-01-11,287.2,290.0,292.0,273.25,283.85,337411
2000-01-12,283.85,287.0,293.0,284.5,285.6,222537
2000-01-13,285.6,288.0,290.5,283.0,283.85,113238
2000-01-14,283.85,284.0,294.0,276.25,286.55,152322
2000-01-17,286.55,302.0,309.5,295.0,302.2,500852
2000-01-18,302.2,307.0,317.85,301.05,305.75,369304
2000-01-19,305.75,310.0,315.0,303.05,305.25,377937
2000-01-20,305.25,303.0,306.0,288.0,291.35,208122
2000-01-21,291.35,292.0,307.0,290.0,299.55,591458
2000-01-24,299.55,306.0,306.0,291.0,293.05,207336
2000-01-25,293.05,285.0,308.95,281.0,303.15,512403
2000-01-27,303.15,315.9,316.6,309.9,316.6,838826
2000-01-28,316.6,328.5,328.9,315.0,324.4,1224604
2000-01-31,324.4,328.7,349.95,320.05,333.5,1449638
2000-02-01,333.5,337.0,353.9,335.0,350.55,1220141
2000-02-02,350.55,355.0,357.0,342.0,351.4,1124774
2000-02-03,351.4,345.55,351.5,338.15,341.9,338774
2000-02-04,341.9,342.0,362.4,341.0,357.2,1393426
2000-02-07,357.2,351.0,362.5,348.15,355.45,834598
2000-02-08,355.45,359.0,359.0,345.6,350.5,527223
2000-02-09,350.5,354.0,354.0,322.5,329.15,918950
2000-02-10,329.15,329.0,329.0,311.6,320.35,406175
2000-02-11,320.35,327.0,346.0,313.0,343.65,1361815
2000-02-14,343.65,354.0,369.0,345.0,359.15,1457178
2000-02-15,359.15,352.35,353.5,330.45,332.6,629569
2000-02-16,332.6,350.0,354.8,338.1,341.6,252848
2000-02-17,341.6,336.0,347.0,336.0,339.2,120854
2000-02-18,339.2,339.0,340.0,325.0,327.9,161499
2000-02-21,327.9,329.0,334.0,317.05,319.15,206189
2000-02-22,319.15,317.0,319.4,301.2,305.95,285365
