Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,157.4,166.0,170.0,166.0,170.0,33259
2000-01-04,170.0,182.0,183.45,171.0,173.8,168710
2000-01-05,173.8,170.0,173.9,165.0,166.95,159820
2000-01-06,166.95,168.0,170.0,165.3,168.3,85026
2000-01-07,168.3,162.15,171.0,162.15,168.35,85144
2000-01-10,168.35,172.9,179.5,165.0,165.9,100434
2000-01-11,165.9,166.5,167.9,157.0,163.4,145784
2000-01-12,163.4,163.75,167.95,162.3,165.45,85952
2000-01-13,165.45,169.9,169.9,165.0,165.1,48276
2000-01-14,165.1,168.0,168.0,164.0,165.45,58152
2000-01-17,165.45,174.0,178.7,172.05,178.7,137404
2000-01-18,178.7,178.7,178.7,164.55,165.7,255652
2000-01-19,165.7,172.0,179.0,172.0,179.0,349818
2000-01-20,179.0,184.8,184.8,176.0,178.6,269098
2000-01-21,178.6,176.0,192.0,172.1,188.15,472329
2000-01-24,188.15,198.8,203.2,193.0,200.55,449366
2000-01-25,200.55,199.0,216.6,199.0,216.6,290291
2000-01-27,216.6,224.0,233.95,221.25,229.7,563582
2000-01-28,229.7,230.0,233.0,224.0,227.9,479165
2000-01-31,227.9,230.1,246.15,230.1,237.75,637380
2000-02-01,237.75,236.0,244.0,235.0,240.95,390779
2000-02-02,240.95,260.2,260.25,239.0,244.0,343832
2000-02-03,244.0,244.0,250.0,224.5,225.95,284687
2000-02-04,225.95,229.95,232.0,217.5,228.95,265704
2000-02-07,228.95,235.0,247.3,230.0,246.7,389035
2000-02-08,246.7,250.0,253.8,240.1,250.75,305208
2000-02-09,250.75,255.0,261.0,246.1,252.5,317233
2000-02-10,252.5,250.0,262.0,248.25,251.75,210086
2000-02-11,251.75,255.1,259.0,231.65,232.1,264823
2000-02-14,232.1,235.0,235.0,220.15,233.45,252544
2000-02-15,233.45,234.0,235.0,225.1,227.6,194087
2000-02-16,227.6,244.9,245.85,230.0,245.85,70600
2000-02-17,245.85,257.7,257.7,248.15,250.4,234160
2000-02-18,250.4,251.0,253.0,239.0,242.6,118777
2000-02-21,242.6,243.25,248.0,235.1,236.15,110472
2000-02-22,236.15,236.05,240.0,217.3,217.55,174806
2000-02-23,217.55,226.0,234.9,217.5,219.45,134508
2000-02-24,219.45,222.0,230.0,215.5,227.0,87892
2000-02-25,227.0,229.95,234.0,222.0,227.0,126532
2000-02-28,227.0,229.85,230.0,220.0,227.55,85721
2000-02-29,227.55,228.0,239.0,209.5,216.8,258688
2000-03-01,216.8,218.0,234.15,218.0,234.15,32094
2000-03-02,234.15,250.0,252.9,250.0,252.9,39936
2000-03-03,252.9,273.15,273.15,273.15,273.15,64294
2000-03-06,273.15,294.95,295.0,255.0,266.05,203641
2000-03-07,266.05,265.0,267.9,255.0,258.2,162412
2000-03-08,258.2,265.0,278.9,262.0,272.05,200477
2000-03-09,272.05,270.15,280.0,251.0,269.6,133979
2000-03-10,269.6,261.25,263.0,248.05,254.15,146833
2000-03-13,254.15,250.0,274.5,250.0,269.95,207982
2000-03-14,269.95,275.5,280.0,256.0,265.4,178202
2000-03-15,265.4,270.0,270.0,247.0,259.85,82786
2000-03-16,259.85,262.0,262.0,255.05,256.95,132464
2000-03-21,256.95,260.0,260.0,246.7,255.8,160111
2000-03-22,255.8,259.75,265.0,254.05,261.15,76130
2000-03-23,261.15,258.25,282.05,258.25,280.4,253844
2000-03-24,280.4,275.1,277.75,264.5,273.4,117154
2000-03-27,273.4,275.0,278.0,266.25,271.7,61131
2000-03-28,271.7,268.5,278.5,268.05,275.1,98364
2000-03-29,275.1,276.0,287.95,263.05,265.4,98480
2000-03-30,265.4,256.5,266.0,251.0,262.55,95368
2000-03-31,262.55,253.0,260.0,252.0,257.2,74360
2000-04-03,257.2,259.95,273.0,240.15,247.15,168588
2000-04-04,247.15,243.0,243.0,227.4,227.4,71783
2000-04-05,227.4,232.0,232.0,209.25,209.25,87281
2000-04-06,209.25,207.0,212.0,192.55,192.55,83506
2000-04-07,192.55,195.0,207.95,185.05,207.95,160929
2000-04-10,207.95,224.5,224.6,219.95,224.6,156056
2000-04-11,224.6,224.6,234.9,209.0,226.2,295933
2000-04-12,226.2,238.0,243.0,223.0,233.0,130901
2000-04-13,233.0,229.0,234.0,215.0,231.45,191316
2000-04-17,231.45,225.0,225.0,212.95,212.95,128329
2000-04-18,212.95,214.05,224.9,214.05,222.1,136898
2000-04-19,222.1,229.0,232.0,219.0,226.45,140953
2000-04-20,226.45,223.0,227.0,215.3,225.7,179397
2000-04-24,225.7,225.0,235.9,224.5,232.1,198636
2000-04-25,232.1,228.1,235.0,220.0,230.95,256016
2000-04-26,230.95,239.9,249.45,231.25,249.25,188978
2000-04-27,249.25,254.7,255.0,233.1,245.5,255768
