Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,813.45,851.0,878.5,851.0,867.45,33799
2000-01-04,867.45,879.0,930.0,870.0,900.35,70944
2000-01-05,900.35,835.0,972.4,835.0,972.35,153030
2000-01-06,972.35,1050.15,1050.15,1015.1,1048.45,129708
2000-01-07,1048.45,1096.0,1120.0,1015.0,1094.95,138829
2000-01-10,1094.95,1124.0,1124.0,1015.0,1022.9,43684
2000-01-11,1022.9,1022.0,1055.0,970.0,993.25,64490
2000-01-12,993.25,1010.0,1017.0,960.0,971.35,11011
2000-01-13,971.35,965.0,1049.1,965.0,975.85,26722
2000-01-14,975.85,980.0,988.0,925.0,944.1,15191
2000-01-17,944.1,950.0,967.9,912.05,924.6,30094
2000-01-18,924.6,930.0,930.0,891.1,914.45,36267
2000-01-19,914.45,950.0,987.0,925.0,929.0,61652
2000-01-20,929.0,950.0,984.0,935.0,942.7,83373
2000-01-21,942.7,951.0,960.0,907.0,910.75,45314
2000-01-24,910.75,917.0,920.0,876.0,880.5,26186
2000-01-25,880.5,855.0,870.0,825.0,835.1,76087
2000-01-27,835.1,865.0,874.0,836.1,853.85,86321
2000-01-28,853.85,852.0,858.0,805.0,839.9,149885
2000-01-31,839.9,830.0,830.0,772.75,772.75,77325
2000-02-01,772.75,756.0,809.0,725.0,783.2,142389
2000-02-02,783.2,815.0,845.9,812.5,845.85,205003
2000-02-03,845.85,897.0,913.55,870.0,873.35,147524
2000-02-04,873.35,888.0,888.0,826.0,833.0,77194
2000-02-07,833.0,821.0,862.9,817.55,821.95,87444
2000-02-08,821.95,835.0,835.0,758.15,777.3,151520
2000-02-09,777.3,815.0,820.0,798.0,810.25,347973
2000-02-10,810.25,820.0,858.0,811.0,834.55,139571
2000-02-11,834.55,860.0,901.35,852.0,869.5,281950
2000-02-14,869.5,875.0,895.0,851.0,861.6,118565
2000-02-15,861.6,863.9,863.9,830.1,838.1,87322
2000-02-16,838.1,842.05,853.0,830.0,835.2,134856
2000-02-17,835.2,835.0,840.0,810.0,824.6,49202
2000-02-18,824.6,800.0,826.0,794.1,796.7,149721
2000-02-21,796.7,809.0,819.0,793.1,798.35,90933
2000-02-22,798.35,789.5,795.0,766.0,789.7,42033
2000-02-23,789.7,795.0,813.0,779.5,780.3,26550
2000-02-24,780.3,773.5,785.0,755.05,777.7,31817
2000-02-25,777.7,785.0,785.0,756.15,763.75,13967
2000-02-28,763.75,751.0,792.0,751.0,790.0,26560
2000-02-29,790.0,791.0,791.0,751.0,757.05,88825
2000-03-01,757.05,770.0,770.0,722.15,726.9,24060
2000-03-02,726.9,730.0,745.0,712.0,717.75,67805
2000-03-03,717.75,663.0,740.0,660.35,681.1,54444
2000-03-06,681.1,705.0,705.0,667.1,670.7,46034
2000-03-07,670.7,690.0,690.0,617.05,617.05,24465
2000-03-08,617.05,590.0,620.0,579.6,601.35,103328
2000-03-09,601.35,591.0,649.5,590.45,647.6,33425
2000-03-10,647.6,650.0,684.65,630.0,642.6,57981
2000-03-13,642.6,645.0,652.9,620.0,632.1,20023
2000-03-14,632.1,640.0,640.0,581.65,612.6,37709
2000-03-15,612.6,635.0,661.65,620.0,658.95,16752
2000-03-16,658.95,674.7,710.0,674.7,700.4,53486
2000-03-21,700.4,655.0,723.8,655.0,677.3,58688
2000-03-22,677.3,652.0,694.85,652.0,668.1,25250
2000-03-23,668.1,699.0,720.0,666.0,693.5,103080
2000-03-24,693.5,720.0,749.0,720.0,740.8,143250
2000-03-27,740.8,758.8,758.8,740.0,743.8,37556
2000-03-28,743.8,725.1,748.3,721.05,740.0,47019
2000-03-29,740.0,725.0,740.0,715.0,719.05,35176
2000-03-30,719.05,695.0,774.0,690.0,731.75,17683
2000-03-31,731.75,727.0,748.9,710.0,737.25,14812
2000-04-03,737.25,750.0,750.0,696.0,702.15,37139
2000-04-04,702.15,665.0,675.0,646.0,657.15,61347
2000-04-05,657.15,675.0,695.0,660.0,667.5,15588
2000-04-06,667.5,668.0,705.0,658.35,695.15,19051
2000-04-07,695.15,710.0,750.8,693.0,746.65,38684
2000-04-10,746.65,752.45,781.0,738.5,743.35,47533
2000-04-11,743.35,721.0,802.85,721.0,801.6,63865
2000-04-12,801.6,834.0,834.0,775.0,785.85,35555
2000-04-13,785.85,770.0,779.0,740.0,762.85,18103
2000-04-17,762.85,725.05,759.0,701.85,706.45,33911
2000-04-18,706.45,745.0,748.0,668.0,682.15,81733
2000-04-19,682.15,705.0,710.0,670.0,680.2,31054
2000-04-20,680.2,640.0,700.0,640.0,686.0,31098
2000-04-24,686.0,672.0,699.95,670.0,682.75,14694
2000-04-25,682.75,662.0,724.7,643.0,701.85,65571
2000-04-26,701.85,725.0,731.5,700.0,712.65,31794
2000-04-27,712.65,737.0,737.9,695.0,705.55,20349
2000-04-28,705.55,700.0,715.0,692.0,709.05,27971
2000-05-02,709.05,709.9,722.0,681.05,707.5,28439
2000-05-03,707.5,675.0,750.0,675.0,721.0,19314
2000-05-04,721.0,724.0,749.0,710.1,732.35,11791
2000-05-05,732.35,739.9,820.25,732.1,805.1,69955
2000-05-08,805.1,780.1,849.0,775.0,779.55,45463
2000-05-09,779.55,774.0,774.9,741.6,761.15,77194
2000-05-10,761.15,775.0,775.0,736.1,743.05,100630
2000-05-11,743.05,720.0,750.0,720.0,729.4,46666
2000-05-12,729.4,741.05,750.0,730.0,737.0,67933
2000-05-15,737.0,725.05,751.0,725.05,748.75,21965
2000-05-16,748.75,740.05,770.0,740.0,746.85,20831
2000-05-17,746.85,763.0,763.0,740.0,740.6,12490
2000-05-18,740.6,732.3,749.9,732.3,741.6,5844
2000-05-19,741.6,744.95,754.35,740.0,746.85,5465
2000-05-22,746.85,744.0,755.0,710.0,742.0,49074
2000-05-23,742.0,736.0,738.0,716.0,727.6,45594
2000-05-24,727.6,728.0,729.0,702.05,712.35,25119
2000-05-25,712.35,714.0,720.0,686.0,711.85,39959
2000-05-26,711.85,701.25,717.8,695.0,712.6,34160
2000-05-29,712.6,714.9,738.0,705.15,726.55,27416
2000-05-30,726.55,735.0,737.0,725.0,726.15,13806
2000-05-31,726.15,730.0,760.0,720.0,723.15,29115
2000-06-01,723.15,715.0,728.15,712.05,716.8,33853
2000-06-02,716.8,725.0,745.0,718.25,734.7,73454
2000-06-05,734.7,753.0,780.0,748.0,748.9,65540
2000-06-06,748.9,745.0,769.9,745.0,762.8,36629
2000-06-07,762.8,765.1,794.5,765.0,788.45,37654
2000-06-08,788.45,790.0,813.0,782.55,791.9,77357
2000-06-09,791.9,783.05,835.0,781.5,823.0,52853
2000-06-12,823.0,825.0,888.85,825.0,867.6,103921
2000-06-13,867.6,853.0,859.95,826.05,831.55,19957
2000-06-14,831.55,842.0,862.85,831.0,840.1,31861
2000-06-15,840.1,860.0,860.0,847.0,851.4,17386
2000-06-16,851.4,864.95,878.75,851.5,856.5,25335
2000-06-19,856.5,863.0,871.95,850.0,851.85,72850
