Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,69.2,74.35,74.75,71.4,74.75,286260
2000-01-04,74.75,73.05,78.5,71.0,73.05,296264
2000-01-05,73.05,70.0,73.5,67.5,69.5,227624
2000-01-06,69.5,71.0,74.0,69.55,70.05,275149
2000-01-07,70.05,69.0,72.5,66.0,67.4,138809
2000-01-10,67.4,67.0,71.0,67.0,69.9,249656
2000-01-11,69.9,69.15,70.45,66.1,69.35,307601
2000-01-12,69.35,69.0,74.9,69.0,74.9,88395
2000-01-13,74.9,80.0,80.9,78.0,79.35,494679
2000-01-14,79.35,78.0,80.8,75.0,79.0,703072
2000-01-17,79.0,81.8,85.35,81.8,85.35,242095
2000-01-18,85.35,88.1,88.1,82.0,84.8,332383
2000-01-19,84.8,88.7,91.6,87.0,91.6,319504
2000-01-20,91.6,98.9,98.95,95.0,96.35,562692
2000-01-21,96.35,103.75,103.75,90.65,99.35,497788
2000-01-24,99.35,101.0,107.3,101.0,107.3,238959
2000-01-25,107.3,112.0,115.9,105.9,115.9,377898
2000-01-27,115.9,125.2,125.2,125.15,125.2,55421
2000-01-28,125.2,130.0,135.25,125.2,135.25,140552
2000-01-31,135.25,145.0,146.1,142.8,146.1,48483
2000-02-01,146.1,157.8,157.8,154.1,157.8,294448
2000-02-02,157.8,170.4,170.45,170.4,170.45,77058
2000-02-03,170.45,180.9,184.1,156.85,156.85,1096584
2000-02-04,156.85,160.0,160.0,144.3,144.4,916856
2000-02-07,144.4,153.5,155.95,141.0,155.6,346954
2000-02-08,155.6,160.0,162.0,145.0,151.55,518908
2000-02-09,151.55,163.0,163.0,147.0,156.55,574437
2000-02-10,156.55,160.0,169.1,160.0,169.1,477509
2000-02-11,169.1,178.85,178.85,158.9,160.3,358089
2000-02-14,160.3,161.7,173.0,161.7,171.7,680012
2000-02-15,171.7,171.9,178.0,162.0,164.2,333939
2000-02-16,164.2,173.7,177.35,168.0,177.05,365906
2000-02-17,177.05,179.95,187.45,175.0,179.75,524041
2000-02-18,179.75,179.0,180.0,172.2,174.35,206088
2000-02-21,174.35,177.0,177.0,168.25,170.2,216847
2000-02-22,170.2,171.0,172.0,157.55,158.9,302490
2000-02-23,158.9,163.0,169.8,156.0,156.9,138078
2000-02-24,156.9,163.0,163.0,144.5,148.8,158543
2000-02-25,148.8,154.0,160.7,147.5,160.3,168818
2000-02-28,160.3,167.0,173.15,155.0,173.15,207492
2000-02-29,173.15,186.2,187.0,165.65,171.3,485692
2000-03-01,171.3,170.0,185.0,170.0,185.0,134657
2000-03-02,185.0,199.8,199.8,199.8,199.8,60344
2000-03-03,199.8,215.8,215.8,215.8,215.8,54422
2000-03-06,215.8,233.1,233.1,199.8,233.1,253604
2000-03-07,233.1,245.0,250.0,214.45,238.15,505774
2000-03-08,238.15,249.5,249.5,219.1,219.35,188461
2000-03-09,219.35,213.0,221.05,201.8,201.8,105191
2000-03-10,201.8,199.9,217.95,185.7,211.65,370944
2000-03-13,211.65,216.0,218.8,194.75,201.1,324805
2000-03-14,201.1,200.0,205.0,186.0,201.2,295642
2000-03-15,201.2,203.1,212.9,198.0,210.35,143921
2000-03-16,210.35,215.0,217.0,202.0,203.95,135423
2000-03-21,203.95,202.0,208.9,187.85,191.75,143802
2000-03-22,191.75,197.0,207.0,195.0,200.35,108196
2000-03-23,200.35,207.0,216.4,207.0,216.4,69268
2000-03-24,216.4,228.0,233.75,216.25,233.75,199705
2000-03-27,233.75,238.0,251.5,233.0,237.65,244731
2000-03-28,237.65,242.0,242.2,218.65,221.95,266906
2000-03-29,221.95,239.75,239.75,239.75,239.75,211225
2000-03-30,239.75,258.95,258.95,258.95,258.95,53319
2000-03-31,258.95,239.75,275.0,239.0,267.05,1049199
2000-04-03,267.05,272.75,279.65,245.7,247.45,608155
2000-04-04,247.45,245.75,245.75,227.65,229.25,729506
2000-04-05,229.25,227.65,227.65,210.95,210.95,100843
2000-04-06,210.95,212.0,219.95,194.1,202.85,263754
2000-04-07,202.85,215.95,219.1,215.95,219.1,59542
2000-04-10,219.1,224.0,236.65,224.0,236.65,27472
2000-04-11,236.65,220.0,249.45,217.75,242.8,228999
2000-04-12,242.8,259.0,259.0,232.1,236.95,147279
2000-04-13,236.95,232.0,232.0,218.0,224.5,241833
2000-04-17,224.5,206.55,225.0,206.55,209.25,223208
2000-04-18,209.25,219.9,225.0,210.0,219.9,107964
2000-04-19,219.9,235.0,235.0,211.05,217.55,134861
2000-04-20,217.55,220.0,220.0,206.0,215.45,97754
2000-04-24,215.45,218.9,220.0,204.0,206.15,129833
2000-04-25,206.15,197.0,206.0,189.7,202.7,282772
