Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,656.0,694.0,708.5,675.0,708.5,562715
2000-01-04,708.5,714.0,729.0,694.3,712.35,712637
2000-01-05,712.35,716.25,758.9,660.0,726.2,1382149
2000-01-06,726.2,741.0,784.3,741.0,784.3,721618
2000-01-07,784.3,832.4,847.05,824.0,847.05,231209
2000-01-10,847.05,911.15,914.85,875.0,914.85,1219818
2000-01-11,914.85,902.0,952.0,866.1,883.7,2376154
2000-01-12,883.7,905.0,924.0,870.3,888.35,616366
2000-01-13,888.35,900.0,936.0,871.0,879.75,667073
2000-01-14,879.75,879.9,903.7,863.2,887.55,575381
2000-01-17,887.55,904.95,904.95,816.55,817.35,1763903
2000-01-18,817.35,806.0,830.0,796.0,821.35,807421
2000-01-19,821.35,830.0,848.0,801.0,826.1,426440
2000-01-20,826.1,830.0,830.0,778.7,786.1,485044
2000-01-21,786.1,785.0,845.9,785.0,831.55,1200922
2000-01-24,831.55,836.0,858.0,782.5,792.45,1546995
2000-01-25,792.45,780.0,780.0,729.05,729.55,1241015
2000-01-27,729.55,751.0,787.95,680.0,778.85,1868015
2000-01-28,778.85,767.0,767.0,716.55,719.2,1276603
2000-01-31,719.2,711.0,728.0,685.0,692.2,993321
2000-02-01,692.2,697.0,721.75,691.0,701.55,1154968
2000-02-02,701.55,720.0,732.7,712.0,714.05,600607
2000-02-03,714.05,721.0,726.0,705.0,709.1,357056
2000-02-04,709.1,713.0,719.8,691.0,695.5,438192
2000-02-07,695.5,708.5,751.15,708.5,747.3,967422
2000-02-08,747.3,761.1,798.0,756.0,763.25,969144
2000-02-09,763.25,784.4,824.35,772.0,824.35,677696
2000-02-10,824.35,890.3,890.3,890.3,890.3,20323
2000-02-11,890.3,961.55,961.55,961.55,961.55,43319
2000-02-14,961.55,998.4,1037.0,902.0,932.55,1122348
2000-02-15,932.55,925.0,1007.15,910.0,1006.5,1468348
2000-02-16,1006.5,1029.6,1067.0,975.0,997.2,1639575
2000-02-17,997.2,999.0,1054.9,992.05,1030.1,1924843
2000-02-18,1030.1,1035.0,1050.0,947.7,956.8,1091697
2000-02-21,956.8,990.0,1008.0,960.0,979.9,972386
2000-02-22,979.9,985.0,998.85,922.6,941.3,1088543
2000-02-23,941.3,951.0,999.0,866.0,866.05,714522
2000-02-24,866.05,866.0,880.0,811.0,842.7,595043
2000-02-25,842.7,868.7,868.7,801.0,810.15,342968
2000-02-28,810.15,820.0,838.85,786.1,803.5,333728
2000-02-29,803.5,810.0,819.0,739.25,746.85,1301851
2000-03-01,746.85,740.1,784.0,710.0,753.75,874568
2000-03-02,753.75,761.0,780.0,714.4,724.6,1069797
2000-03-03,724.6,736.0,736.0,666.65,675.35,696618
2000-03-06,675.35,697.0,729.4,697.0,729.4,476107
2000-03-07,729.4,745.0,787.75,732.0,780.6,954532
2000-03-08,780.6,820.0,843.05,780.0,807.55,816449
2000-03-09,807.55,815.0,847.0,787.1,828.7,889699
2000-03-10,828.7,839.95,867.0,810.05,837.4,679326
2000-03-13,837.4,867.0,904.4,800.0,829.05,1122941
2000-03-14,829.05,825.0,878.0,791.0,859.0,1118886
2000-03-15,859.0,860.0,875.0,826.0,851.7,448662
2000-03-16,851.7,859.0,859.0,783.6,785.65,478057
2000-03-21,785.65,775.0,787.9,722.8,725.15,395936
2000-03-22,725.15,745.0,770.0,736.0,740.45,449248
2000-03-23,740.45,746.9,747.8,697.0,704.75,298809
2000-03-24,704.75,712.0,733.0,712.0,721.4,258417
2000-03-27,721.4,724.9,732.0,710.05,720.5,243855
2000-03-28,720.5,722.0,723.9,692.15,701.95,385509
2000-03-29,701.95,720.0,750.0,712.0,723.15,347546
2000-03-30,723.15,729.9,754.0,711.0,720.15,603876
2000-03-31,720.15,711.0,751.85,710.0,741.45,586148
2000-04-03,741.45,739.9,800.8,721.05,797.0,1720025
2000-04-04,797.0,785.0,785.0,733.25,733.25,581309
2000-04-05,733.25,680.0,740.0,675.05,698.75,706269
2000-04-06,698.75,705.0,711.0,646.1,682.8,431386
2000-04-07,682.8,682.0,733.9,682.0,730.95,1087357
2000-04-10,730.95,735.0,771.8,725.0,736.0,1461248
2000-04-11,736.0,726.1,728.0,703.0,717.0,479431
2000-04-12,717.0,725.0,739.6,715.0,721.85,353802
2000-04-13,721.85,701.55,701.55,680.0,685.65,402330
2000-04-17,685.65,680.0,680.0,630.8,630.8,323927
2000-04-18,630.8,630.8,647.25,580.35,580.7,688991
2000-04-19,580.7,619.0,619.0,558.0,582.2,756996
2000-04-20,582.2,571.5,584.95,542.65,575.7,918435
2000-04-24,575.7,575.0,575.0,529.65,530.95,624758
2000-04-25,530.95,500.7,526.0,489.8,513.6,873486
2000-04-26,513.6,529.8,554.7,529.8,554.7,304309
2000-04-27,554.7,594.0,594.0,554.7,574.95,947651
2000-04-28,574.95,575.0,584.9,561.0,569.2,357585
2000-05-02,569.2,565.0,574.0,525.0,527.95,433751
2000-05-03,527.95,502.0,544.5,495.1,525.7,582541
2000-05-04,525.7,530.0,557.0,520.0,549.15,513933
2000-05-05,549.15,553.8,573.0,549.0,564.4,641020
2000-05-08,564.4,572.0,593.1,519.25,520.35,485042
2000-05-09,520.35,506.3,541.0,500.0,529.1,434331
2000-05-10,529.1,535.0,555.45,519.0,533.0,1119290
2000-05-11,533.0,530.0,545.5,515.0,533.25,564757
2000-05-12,533.25,539.9,568.4,531.0,559.45,1340982
2000-05-15,559.45,552.0,590.0,536.0,580.45,873242
2000-05-16,580.45,585.2,634.8,585.2,625.8,1344438
2000-05-17,625.8,635.0,640.0,613.0,618.55,1214993
2000-05-18,618.55,610.05,625.0,595.0,604.7,748001
2000-05-19,604.7,597.05,622.0,595.1,619.05,560732
2000-05-22,619.05,615.0,637.8,611.25,628.45,716805
2000-05-23,628.45,630.55,650.0,627.25,643.1,767879
2000-05-24,643.1,640.0,659.0,602.0,624.95,1112766
2000-05-25,624.95,614.0,669.0,614.0,654.55,1935146
2000-05-26,654.55,659.9,679.0,645.15,671.8,1499290
2000-05-29,671.8,670.0,680.0,660.0,670.5,783797
2000-05-30,670.5,673.0,749.0,668.0,739.15,1576933
2000-05-31,739.15,770.0,789.0,709.0,725.6,2962904
2000-06-01,725.6,715.35,733.0,691.1,695.65,1190649
2000-06-02,695.65,703.0,719.0,686.05,696.5,1238952
2000-06-05,696.5,709.9,724.0,661.0,665.1,1418460
2000-06-06,665.1,661.0,679.85,650.1,667.95,995484
2000-06-07,667.95,669.0,699.85,665.0,688.25,883056
2000-06-08,688.25,694.95,712.95,690.05,707.6,921591
2000-06-09,707.6,702.0,721.0,691.0,699.5,857393
2000-06-12,699.5,703.0,703.0,681.5,688.25,408080
2000-06-13,688.25,683.0,695.0,678.0,689.85,391755
2000-06-14,689.85,696.9,704.5,687.0,697.8,600957
2000-06-15,697.8,700.0,727.0,697.0,716.9,897882
2000-06-16,716.9,718.8,732.1,715.0,723.7,639610
2000-06-19,723.7,725.0,750.85,723.1,737.25,791002
2000-06-20,737.25,746.0,765.3,740.0,751.4,844722
2000-06-21,751.4,760.0,764.6,717.0,724.95,609869
2000-06-22,724.95,724.0,744.0,710.0,736.0,478598
2000-06-23,736.0,735.0,759.9,726.0,739.4,1083500
2000-06-26,739.4,734.0,744.8,720.0,724.95,545262
2000-06-27,724.95,722.1,736.0,716.2,720.75,596834
2000-06-28,720.75,718.0,767.0,717.0,754.4,1037937
2000-06-29,754.4,769.0,805.0,763.55,798.85,1795349
2000-06-30,798.85,790.05,804.7,782.0,791.8,1171477
2000-07-03,791.8,798.0,824.0,765.0,817.15,1857029
2000-07-04,817.15,820.0,823.55,805.15,809.65,728697
2000-07-05,809.65,800.0,813.25,788.1,798.4,829679
2000-07-06,798.4,789.5,814.4,781.1,809.4,1406399
2000-07-07,809.4,815.0,842.8,810.1,832.95,1636214
2000-07-10,832.95,836.1,847.9,822.55,837.95,1163274
2000-07-11,837.95,832.05,867.0,827.1,863.25,2595255
2000-07-12,863.25,865.0,865.0,835.0,845.5,574886
2000-07-13,845.5,848.0,879.9,828.05,833.3,2478815
2000-07-14,833.3,837.0,849.0,820.0,824.85,1033881
2000-07-17,824.85,821.05,821.05,770.0,781.7,1075471
2000-07-18,781.7,773.45,825.85,773.4,805.95,1656607
2000-07-19,805.95,801.4,816.9,782.0,784.7,639985
2000-07-20,784.7,782.1,798.85,762.0,769.45,943319
2000-07-21,769.45,773.0,784.4,746.55,753.75,918966
2000-07-24,753.75,743.55,757.0,732.0,739.15,913419
2000-07-25,739.15,726.55,774.9,726.55,755.7,1136211
2000-07-26,755.7,755.0,766.0,726.3,732.15,623161
2000-07-27,732.15,728.0,740.05,701.0,736.65,750874
2000-07-28,736.65,744.0,777.9,736.25,748.05,1219875
2000-07-31,748.05,746.55,763.8,736.0,741.95,507607
2000-08-01,741.95,746.0,756.95,733.3,751.7,492249
2000-08-02,751.7,748.85,764.0,743.05,759.25,424283
2000-08-03,759.25,764.9,772.5,747.0,749.55,705558
2000-08-04,749.55,751.3,773.4,742.05,761.05,1100023
2000-08-07,761.05,765.0,787.0,763.0,775.15,982859
2000-08-08,775.15,779.0,785.0,767.65,778.2,583787
2000-08-09,778.2,778.0,779.85,760.0,768.4,730341
2000-08-10,768.4,772.0,779.0,765.0,767.35,635426
2000-08-11,767.35,769.0,771.0,751.1,761.25,460025
2000-08-14,761.25,765.0,822.1,754.0,801.85,992483
2000-08-16,801.85,827.9,838.95,799.05,818.8,1348806
2000-08-17,818.8,818.4,826.0,795.0,799.85,667670
2000-08-18,799.85,801.0,810.0,786.1,793.55,601945
2000-08-21,793.55,790.0,800.4,775.1,780.9,436454
2000-08-22,780.9,787.5,796.0,761.25,766.25,922298
2000-08-23,766.25,772.45,785.9,765.2,776.65,604003
2000-08-24,776.65,778.85,785.9,765.3,769.5,357752
2000-08-25,769.5,774.0,778.9,758.1,760.3,567961
2000-08-28,760.3,758.0,767.0,753.0,763.95,254484
2000-08-29,763.95,761.0,774.8,761.0,767.0,423612
2000-08-30,767.0,770.0,774.9,756.0,759.25,225533
2000-08-31,759.25,757.7,779.0,756.0,775.95,472379
2000-09-04,775.95,782.0,789.0,769.5,771.45,456823
2000-09-05,771.45,774.85,783.0,770.0,772.35,388065
2000-09-06,772.35,772.9,775.7,758.4,764.5,480691
2000-09-07,764.5,768.0,774.9,761.5,764.0,204912
2000-09-08,764.0,764.5,774.8,760.0,762.7,360125
2000-09-11,762.7,764.9,766.85,757.0,761.1,228506
2000-09-12,761.1,760.0,844.9,760.0,830.15,2249287
2000-09-13,830.15,839.8,858.0,820.0,840.3,1352571
2000-09-14,840.3,835.1,844.0,820.6,823.55,625425
2000-09-15,823.55,829.0,829.9,800.1,805.2,557452
2000-09-18,805.2,800.0,804.0,776.05,779.4,450243
2000-09-19,779.4,775.15,783.0,750.0,753.95,613567
2000-09-20,753.95,772.0,776.0,759.0,769.3,178848
2000-09-21,769.3,774.0,799.0,767.1,772.3,545626
2000-09-22,772.3,769.1,770.0,712.6,724.5,715510
2000-09-25,724.5,745.0,758.0,718.0,730.9,461628
2000-09-26,730.9,731.2,744.0,720.2,731.0,489971
