Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,212.35,220.0,229.35,220.0,229.35,7086
2000-01-04,229.35,247.7,247.7,225.25,246.95,73681
2000-01-05,246.95,229.0,240.0,227.2,228.4,105799
2000-01-06,228.4,235.1,239.0,217.0,225.9,40202
2000-01-07,225.9,213.0,219.0,207.85,208.85,24463
2000-01-10,208.85,215.0,219.0,192.15,192.15,12408
2000-01-11,192.15,180.2,180.2,176.8,176.8,15253
2000-01-12,176.8,165.0,169.45,162.7,162.7,20558
2000-01-13,162.7,149.7,175.7,149.7,167.35,103323
2000-01-14,167.35,169.0,177.0,156.15,159.85,31522
2000-01-17,159.85,169.0,170.0,150.15,153.5,27217
2000-01-18,153.5,148.25,158.9,147.3,149.5,40099
2000-01-19,149.5,154.5,161.5,154.0,161.5,12701
2000-01-20,161.5,174.45,174.45,174.45,174.45,4180
2000-01-21,174.45,188.4,188.45,182.1,188.45,39486
2000-01-24,188.45,200.0,203.55,200.0,203.55,10214
2000-01-25,203.55,214.9,218.9,189.05,200.6,106362
2000-01-27,200.6,194.95,194.95,194.95,194.95,3547
2000-01-28,194.95,210.55,210.55,210.55,210.55,36765
2000-01-31,210.55,227.4,227.4,219.0,227.4,55785
2000-02-01,227.4,245.45,245.6,211.1,230.6,158195
2000-02-02,230.6,245.0,245.0,220.55,222.0,75199
2000-02-03,222.0,215.0,218.9,204.25,207.4,74420
2000-02-04,207.4,204.25,211.0,200.0,204.0,42796
2000-02-07,204.0,201.55,202.8,190.0,191.65,47503
2000-02-08,191.65,181.05,193.0,181.05,190.0,66230
2000-02-09,190.0,184.0,190.0,178.2,180.05,63515
2000-02-10,180.05,181.0,181.0,168.0,172.5,46478
2000-02-11,172.5,166.0,174.0,166.0,171.15,31531
2000-02-14,171.15,170.05,170.5,157.5,157.5,34929
2000-02-15,157.5,148.0,163.7,148.0,149.6,153150
2000-02-16,149.6,155.25,161.6,154.0,161.6,67654
2000-02-17,161.6,165.0,174.55,164.8,174.55,64637
2000-02-18,174.55,184.4,188.0,162.75,174.85,90931
2000-02-21,174.85,175.0,178.0,161.0,171.6,83475
2000-02-22,171.6,175.0,176.0,161.5,163.2,101537
2000-02-23,163.2,169.0,176.25,158.0,160.4,78128
2000-02-24,160.4,161.1,163.0,151.0,153.85,32260
2000-02-25,153.85,151.7,155.9,141.55,143.3,35794
