Date,Prev Close,Open,High,Low,Close,Volume
2003-07-09,125.0,164.9,170.4,155.0,164.3,35164283
2003-07-10,164.3,167.0,168.7,164.5,167.0,10464179
2003-07-11,167.0,167.75,174.85,166.25,173.35,11740117
2003-07-14,173.35,174.25,179.25,174.25,177.95,5982324
2003-07-15,177.95,200.0,200.0,173.0,176.2,6173689
2003-07-16,176.2,176.45,179.1,175.35,177.1,3759085
2003-07-17,177.1,177.5,178.0,170.65,172.2,3814181
2003-07-18,172.2,165.0,171.9,160.0,167.4,5375212
2003-07-21,167.4,169.0,169.4,163.05,164.9,3315845
2003-07-22,164.9,164.0,169.15,162.1,167.25,4627992
2003-07-23,167.25,170.5,178.0,169.8,174.7,13262249
2003-07-24,174.7,175.9,177.0,172.85,174.1,4305936
2003-07-25,174.1,174.4,175.0,172.1,173.65,2832967
2003-07-28,173.65,188.0,188.0,175.1,178.85,5415867
2003-07-29,178.85,179.95,182.9,179.1,180.3,5229181
2003-07-30,180.3,181.25,184.75,180.1,181.1,4632246
2003-07-31,181.1,181.7,183.65,179.65,180.85,3562717
2003-08-01,180.85,182.0,189.0,178.75,187.15,8027285
2003-08-04,187.15,187.85,198.5,185.0,197.6,9982429
2003-08-05,197.6,199.0,203.45,192.85,193.6,9651327
2003-08-06,193.6,191.5,197.5,189.85,191.6,7451054
2003-08-07,191.6,193.5,196.0,192.25,195.4,3223676
2003-08-08,195.4,197.0,198.9,196.0,197.15,2530289
2003-08-11,197.15,198.1,203.8,196.0,202.2,5651311
2003-08-12,202.2,203.8,212.0,203.5,210.45,8215213
2003-08-13,210.45,213.0,219.5,212.0,217.8,7839204
2003-08-14,217.8,223.0,224.4,215.0,216.55,6298655
2003-08-18,216.55,218.1,221.0,215.4,216.9,3382031
2003-08-19,216.9,219.85,219.9,215.0,215.65,3080091
2003-08-20,215.65,217.4,226.45,217.3,225.0,6049174
2003-08-21,225.0,227.0,228.9,223.3,227.95,4012069
2003-08-22,227.95,228.05,232.8,225.9,229.3,4436016
2003-08-25,229.3,230.0,231.45,216.1,221.05,4827198
2003-08-26,221.05,217.0,235.0,217.0,232.45,3968069
2003-08-27,232.45,235.4,237.6,233.0,234.3,2267859
2003-08-28,234.3,235.75,235.75,226.0,228.05,3554363
2003-08-29,228.05,232.05,238.5,231.5,235.4,3212067
2003-09-01,235.4,236.4,237.0,231.7,235.55,2478236
2003-09-02,235.55,234.85,234.85,224.1,226.55,3975812
2003-09-03,226.55,227.1,231.75,221.0,222.8,3945233
2003-09-04,222.8,223.0,225.7,218.45,221.55,3682478
2003-09-05,221.55,223.9,230.0,222.4,229.3,2971415
2003-09-08,229.3,231.0,233.9,227.15,228.75,1817991
2003-09-09,228.75,230.0,235.0,225.8,228.2,2034401
2003-09-10,228.2,227.75,230.4,225.8,227.8,1476667
2003-09-11,227.8,230.0,230.1,225.0,225.65,1092801
2003-09-12,225.65,228.0,228.5,219.1,220.35,2496597
