Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,419.75,453.3,453.35,448.9,453.35,67195
2000-01-04,453.35,489.6,489.65,489.6,489.65,37470
2000-01-05,489.65,528.85,528.85,451.15,514.85,227621
2000-01-06,514.85,528.0,550.0,518.0,524.55,198870
2000-01-07,524.55,515.0,522.0,490.0,496.4,91052
2000-01-10,496.4,509.9,535.0,491.7,497.2,83454
2000-01-11,497.2,514.0,537.0,510.1,532.8,250382
2000-01-12,532.8,540.0,550.0,490.2,490.25,136009
2000-01-13,490.25,516.0,520.0,465.5,499.0,85954
2000-01-14,499.0,500.0,525.0,490.1,519.0,79448
2000-01-17,519.0,538.0,560.55,538.0,560.55,163004
2000-01-18,560.55,570.0,595.95,550.25,573.95,293023
2000-01-19,573.95,601.0,619.9,572.0,599.2,327481
2000-01-20,599.2,597.95,597.95,566.0,572.35,107183
2000-01-21,572.35,585.0,585.0,544.0,550.0,91545
2000-01-24,550.0,539.1,549.9,511.25,514.7,45765
2000-01-25,514.7,516.0,519.75,491.2,507.25,91169
2000-01-27,507.25,540.0,540.0,475.0,499.3,92630
2000-01-28,499.3,508.0,519.9,500.0,511.1,56869
2000-01-31,511.1,507.0,517.5,500.0,507.75,39681
2000-02-01,507.75,509.0,513.75,475.0,481.95,134808
2000-02-02,481.95,500.0,520.55,498.0,520.55,89805
2000-02-03,520.55,540.0,558.7,515.05,519.2,52038
2000-02-04,519.2,516.0,522.9,501.0,509.2,31704
2000-02-07,509.2,497.0,512.9,497.0,505.85,29028
2000-02-08,505.85,514.9,546.35,514.9,546.35,121487
2000-02-09,546.35,580.0,589.0,520.0,529.2,139867
2000-02-10,529.2,535.25,571.55,535.25,571.25,383118
2000-02-11,571.25,589.0,616.95,589.0,616.95,377618
2000-02-14,616.95,659.5,664.0,620.0,653.8,424416
2000-02-15,653.8,625.0,627.95,601.5,601.5,56309
2000-02-16,601.5,609.0,610.0,553.4,553.4,18410
2000-02-17,553.4,510.25,558.9,509.15,529.45,147757
2000-02-18,529.45,525.0,538.5,490.2,496.0,217637
2000-02-21,496.0,505.0,515.0,492.0,507.8,123665
2000-02-22,507.8,491.25,520.0,491.25,515.4,252087
2000-02-23,515.4,524.0,555.0,513.0,514.75,74152
2000-02-24,514.75,525.0,554.8,504.0,513.8,158775
2000-02-25,513.8,534.0,534.0,490.0,496.15,28254
2000-02-28,496.15,490.0,513.0,476.0,510.25,62070
2000-02-29,510.25,503.0,511.95,475.0,482.15,105911
2000-03-01,482.15,490.0,490.0,444.0,460.45,86010
2000-03-02,460.45,470.0,470.1,423.65,423.7,118070
2000-03-03,423.7,390.0,399.9,389.95,391.35,144260
2000-03-06,391.35,397.95,408.25,381.5,402.45,54213
2000-03-07,402.45,393.0,395.0,370.25,370.3,37027
2000-03-08,370.3,367.1,397.0,345.0,350.05,48887
2000-03-09,350.05,353.0,353.0,322.05,322.05,57892
2000-03-10,322.05,329.0,347.85,320.0,347.85,84915
2000-03-13,347.85,353.7,375.7,345.0,375.7,67187
2000-03-14,375.7,398.7,400.5,375.0,387.4,143127
2000-03-15,387.4,384.9,384.9,356.45,356.45,16755
2000-03-16,356.45,335.0,350.0,327.95,327.95,80436
2000-03-21,327.95,328.0,354.2,323.0,350.45,74529
2000-03-22,350.45,357.0,378.5,355.0,369.2,211467
2000-03-23,369.2,380.0,382.0,339.7,339.7,27793
2000-03-24,339.7,327.1,335.0,316.0,330.25,72299
2000-03-27,330.25,335.0,352.95,335.0,339.65,83845
2000-03-28,339.65,356.5,365.0,344.5,348.9,87565
2000-03-29,348.9,358.5,370.5,348.0,351.45,151834
2000-03-30,351.45,341.1,341.1,323.35,325.65,96674
2000-03-31,325.65,324.0,324.95,308.5,317.85,164694
2000-04-03,317.85,319.0,329.0,292.45,292.7,75503
2000-04-04,292.7,271.0,305.0,269.3,296.7,201547
2000-04-05,296.7,302.0,320.4,292.1,315.5,251775
2000-04-06,315.5,320.0,324.0,297.0,314.4,207445
2000-04-07,314.4,319.0,339.55,319.0,339.55,160458
2000-04-10,339.55,340.0,364.95,340.0,355.15,207932
2000-04-11,355.15,350.0,351.0,331.15,348.45,55588
2000-04-12,348.45,345.0,345.0,321.0,322.85,83549
2000-04-13,322.85,311.0,314.25,303.0,308.05,78098
2000-04-17,308.05,295.25,295.25,283.45,283.8,142306
2000-04-18,283.8,290.0,294.95,275.2,280.0,108874
2000-04-19,280.0,289.0,296.6,280.0,283.75,55738
2000-04-20,283.75,279.0,290.0,266.0,282.25,64949
2000-04-24,282.25,271.5,284.5,271.5,280.2,24294
2000-04-25,280.2,273.0,302.35,267.25,293.55,70822
2000-04-26,293.55,311.0,311.0,294.5,308.45,52670
2000-04-27,308.45,315.0,317.0,283.8,283.8,44511
2000-04-28,283.8,283.0,283.0,261.1,269.0,72450
2000-05-02,269.0,269.0,272.0,251.0,267.35,82184
2000-05-03,267.35,260.0,275.0,256.1,266.8,32704
2000-05-04,266.8,266.0,277.0,265.0,270.0,426418
2000-05-05,270.0,275.0,302.4,272.0,298.75,436455
2000-05-08,298.75,305.0,312.0,278.0,281.5,86697
2000-05-09,281.5,273.5,275.9,264.0,272.8,98624
2000-05-10,272.8,279.9,279.9,260.0,261.8,104533
2000-05-11,261.8,252.0,257.95,230.4,230.4,150820
