Date,Prev Close,Open,High,Low,Close,Volume
2010-01-08,2512.95,2555.0,2575.0,2475.2,2494.65,648
2010-01-11,2494.65,2401.0,2515.0,2400.0,2498.95,825
2010-01-12,2498.95,2540.0,2540.0,2471.35,2502.85,68346
2010-01-13,2502.85,2502.85,2540.0,2480.0,2489.35,1032
2010-01-14,2489.35,2535.0,2595.0,2470.0,2568.2,330361
2010-01-15,2568.2,2580.0,2580.0,2500.05,2513.5,8229
2010-01-18,2513.5,2574.0,2574.0,2514.0,2536.15,883
2010-01-19,2536.15,2567.0,2570.0,2531.0,2556.1,688
2010-01-20,2556.1,2550.0,2575.0,2540.0,2542.5,641
2010-01-21,2542.5,2539.9,2569.0,2499.9,2526.2,831
2010-01-22,2526.2,2500.0,2530.0,2478.0,2529.0,681
2010-01-25,2529.0,2665.35,2665.35,2510.0,2522.25,1955
2010-01-27,2522.25,2570.0,2574.9,2498.6,2566.9,5302
2010-01-28,2566.9,2568.0,2610.0,2535.5,2586.85,1048
2010-01-29,2586.85,2526.0,2580.0,2526.0,2533.0,787
2010-02-01,2533.0,2599.95,2599.95,2515.1,2532.2,614
2010-02-02,2532.2,2599.1,2599.1,2540.0,2560.1,831
2010-02-03,2560.1,2588.0,2600.0,2556.0,2564.6,8681
2010-02-04,2564.6,2548.0,2583.8,2548.0,2568.35,442
2010-02-05,2568.35,2582.0,2582.0,2442.0,2549.1,1651
2010-02-06,2549.1,2455.0,2572.9,2455.0,2566.4,33
2010-02-08,2566.4,2570.0,2672.0,2570.0,2645.5,8181
2010-02-09,2645.5,2600.1,2824.0,2600.1,2792.6,8861
2010-02-10,2792.6,2802.0,3244.0,2738.6,2750.2,44699
2010-02-11,2750.2,2819.0,2819.0,2726.1,2737.25,31881
2010-02-15,2737.25,2815.0,2815.0,2614.0,2719.25,4504
2010-02-16,2719.25,2792.0,2814.7,2697.05,2701.85,6120
2010-02-17,2701.85,2705.15,2743.0,2681.4,2688.75,9981
2010-02-18,2688.75,2688.75,2710.0,2645.0,2651.5,2203
2010-02-19,2651.5,2650.0,2685.0,2628.0,2640.15,7495
2010-02-22,2640.15,2625.05,2649.0,2560.0,2584.9,14820
2010-02-23,2584.9,2570.0,2590.0,2551.0,2552.2,3070
2010-02-24,2552.2,2550.0,2590.0,2540.0,2574.7,9918
2010-02-25,2574.7,2580.0,2600.0,2552.1,2559.6,4264
2010-02-26,2559.6,2526.1,2650.0,2526.1,2626.9,4239
2010-03-02,2626.9,2620.0,2645.0,2600.0,2625.45,3343
2010-03-03,2625.45,2630.0,2640.0,2604.65,2629.15,2339
2010-03-04,2629.15,2610.0,2650.0,2610.0,2634.0,4796
2010-03-05,2634.0,2670.0,2719.8,2670.0,2701.15,14392
2010-03-08,2701.15,2730.0,2750.0,2692.25,2725.95,9767
2010-03-09,2725.95,2700.0,2751.0,2700.0,2745.2,4212
2010-03-10,2745.2,2721.0,2765.0,2721.0,2739.95,8386
2010-03-11,2739.95,2725.0,2740.0,2695.0,2732.75,27712
2010-03-12,2732.75,2825.0,2825.0,2690.0,2715.45,19872
2010-03-15,2715.45,2731.0,2757.0,2704.1,2744.8,2980
2010-03-16,2744.8,2735.6,2736.0,2660.0,2672.35,9216
2010-03-17,2672.35,2690.0,2690.0,2655.0,2678.55,2149
2010-03-18,2678.55,2698.0,2698.0,2658.05,2668.05,6485
2010-03-19,2668.05,2689.75,2689.75,2621.0,2646.35,11167
