Date,Prev Close,Open,High,Low,Close,Volume
2004-11-05,62.0,88.0,88.0,70.0,75.55,232535736
2004-11-08,75.55,76.8,78.6,75.0,75.2,68865277
2004-11-09,75.2,75.1,76.1,74.55,75.3,37460886
2004-11-10,75.3,75.5,75.95,75.0,75.05,17413433
2004-11-11,75.05,75.35,75.4,74.3,74.45,15961426
2004-11-12,74.45,75.0,82.4,73.65,74.65,4253463
2004-11-16,74.65,74.7,74.8,73.2,73.65,13254394
2004-11-17,73.65,73.7,75.2,73.5,73.6,20036184
2004-11-18,73.6,75.0,79.85,73.5,73.65,17954359
2004-11-19,73.65,73.65,74.85,73.5,73.55,15895741
2004-11-22,73.55,73.6,75.05,72.0,74.45,28118069
2004-11-23,74.45,75.0,76.5,74.95,75.85,29755772
2004-11-24,75.85,76.55,78.0,76.2,77.8,30821250
2004-11-25,77.8,77.9,79.0,76.8,77.05,23538442
2004-11-29,77.05,77.2,78.0,76.75,77.3,14201592
2004-11-30,77.3,77.9,79.7,76.85,79.1,39953911
2004-12-01,79.1,79.5,80.5,79.0,79.7,33721820
2004-12-02,79.7,80.5,81.35,79.95,80.45,18200351
2004-12-03,80.45,80.75,80.9,79.25,79.6,12751825
2004-12-06,79.6,81.6,82.1,79.65,79.9,10983285
2004-12-07,79.9,80.2,81.75,79.55,80.45,21482990
2004-12-08,80.45,80.7,81.2,79.55,80.0,21705590
2004-12-09,80.0,79.9,80.35,79.6,80.0,9418563
2004-12-10,80.0,81.6,81.6,78.7,79.0,9916789
2004-12-13,79.0,79.15,80.0,78.85,79.6,7050908
2004-12-14,79.6,80.1,81.75,79.8,81.6,16024313
2004-12-15,81.6,82.0,84.5,81.95,84.1,23958928
2004-12-16,84.1,84.5,85.0,83.5,83.8,9719163
2004-12-17,83.8,84.1,84.2,82.5,83.0,8752951
2004-12-20,83.0,83.0,83.95,83.0,83.25,6285852
2004-12-21,83.25,83.5,84.8,83.45,84.5,10321921
2004-12-22,84.5,84.95,84.95,82.9,83.15,8455261
2004-12-23,83.15,83.0,84.0,83.0,83.25,5830509
2004-12-24,83.25,83.75,84.4,83.3,83.65,5597965
2004-12-27,83.65,83.5,85.5,83.0,85.05,10965357
2004-12-28,85.05,85.45,87.15,85.3,86.95,10554064
2004-12-29,86.95,87.0,89.1,86.6,87.05,16424060
2004-12-30,87.05,87.15,87.8,85.3,85.65,16434144
2004-12-31,85.65,86.1,87.9,86.0,87.25,6575789
2005-01-03,87.25,88.0,88.8,87.05,88.5,10136028
2005-01-04,88.5,88.65,89.65,87.65,88.8,11406200
2005-01-05,88.8,88.45,89.1,82.25,84.85,14253722
2005-01-06,84.85,84.75,84.75,81.6,82.7,18412524
2005-01-07,82.7,83.9,83.95,82.8,83.35,7801660
2005-01-10,83.35,88.0,88.0,83.1,83.45,6833531
2005-01-11,83.45,83.5,83.8,81.55,81.8,8314946
2005-01-12,81.8,81.0,82.5,78.0,79.05,14900817
2005-01-13,79.05,80.3,82.5,79.6,81.8,11014700
2005-01-14,81.8,82.35,82.6,80.6,81.15,10422186
2005-01-17,81.15,82.0,82.1,79.1,81.25,9284303
2005-01-18,81.25,81.5,82.1,81.0,81.35,6463672
2005-01-19,81.35,81.0,82.05,79.5,79.8,8993427
2005-01-20,79.8,80.0,80.0,77.5,78.25,8787095
2005-01-24,78.25,84.7,84.7,77.75,78.05,3818135
2005-01-25,78.05,78.5,81.1,77.4,80.8,18803080
2005-01-27,80.8,81.5,81.8,79.4,79.9,11389322
2005-01-28,79.9,80.75,82.55,80.5,82.25,12679306
2005-01-31,82.25,82.5,87.0,82.5,86.5,28705101
2005-02-01,86.5,87.0,90.6,85.3,89.15,43321175
2005-02-02,89.15,89.5,91.25,88.95,89.75,28553839
2005-02-03,89.75,90.2,92.4,90.2,91.85,18312983
2005-02-04,91.85,92.45,92.9,90.25,91.75,21712644
2005-02-07,91.75,93.4,93.7,91.9,92.6,18248140
2005-02-08,92.6,93.0,93.2,91.0,91.35,12447419
2005-02-09,91.35,91.9,92.45,91.2,91.95,9024452
2005-02-10,91.95,93.8,93.8,91.25,92.05,9357643
2005-02-11,92.05,92.45,92.95,91.85,92.15,6297522
2005-02-14,92.15,92.7,93.0,91.75,92.05,5843033
2005-02-15,92.05,92.3,93.45,91.3,92.65,16336677
2005-02-16,92.65,93.0,93.4,91.85,92.1,11935299
2005-02-17,92.1,92.0,92.85,91.2,92.4,10813254
2005-02-18,92.4,92.7,94.3,92.55,93.3,13436509
2005-02-21,93.3,93.55,94.1,92.0,92.4,7603625
2005-02-22,92.4,92.55,92.75,91.9,92.65,6443985
2005-02-23,92.65,93.0,95.2,92.0,94.9,14588120
2005-02-24,94.9,95.5,95.5,93.35,93.85,15271545
2005-02-25,93.85,93.95,93.95,92.1,92.5,7792264
2005-02-28,92.5,92.75,93.8,92.3,93.0,9479280
2005-03-01,93.0,93.5,93.5,92.4,93.0,5090523
2005-03-02,93.0,92.85,94.0,92.85,93.4,4197770
2005-03-03,93.4,93.45,94.15,93.35,93.95,3952961
2005-03-04,93.95,94.15,94.85,93.65,93.95,6198037
2005-03-07,93.95,94.05,94.6,91.9,92.2,11415157
2005-03-08,92.2,93.5,94.25,91.8,93.9,8477220
2005-03-09,93.9,94.25,94.4,91.9,92.5,6894116
2005-03-10,92.5,92.7,93.2,92.1,93.05,4309851
2005-03-11,93.05,93.4,94.0,93.0,93.5,5801161
2005-03-14,93.5,93.4,93.7,92.55,93.0,2856688
2005-03-15,93.0,93.2,93.8,91.6,91.75,4357954
2005-03-16,91.75,91.95,92.45,91.1,91.35,2450303
2005-03-17,91.35,91.5,91.5,89.55,90.05,2634274
2005-03-18,90.05,90.0,90.4,87.35,89.7,4959130
2005-03-21,89.7,89.9,89.95,88.0,88.15,2105416
2005-03-22,88.15,88.3,88.9,85.3,85.7,5221374
2005-03-23,85.7,95.5,95.5,83.25,83.95,6341676
2005-03-24,83.95,83.5,84.9,83.0,84.1,5291887
2005-03-28,84.1,85.4,86.65,84.2,86.1,5647191
2005-03-29,86.1,86.95,86.95,84.2,84.75,5317918
2005-03-30,84.75,85.4,86.0,84.35,85.35,4155098
2005-03-31,85.35,85.75,86.45,84.9,85.3,6316654
2005-04-01,85.3,99.0,99.0,85.2,87.6,4402210
2005-04-04,87.6,87.55,89.9,85.7,86.0,5993488
2005-04-05,86.0,86.8,86.8,83.9,85.95,6365239
2005-04-06,85.95,86.0,86.0,84.5,85.0,4279926
2005-04-07,85.0,85.0,85.85,84.6,85.05,2911224
2005-04-08,85.05,85.5,86.15,85.0,85.85,8855329
2005-04-11,85.85,86.0,86.0,84.2,85.0,3119292
2005-04-12,85.0,85.25,85.65,84.55,85.5,2285549
2005-04-13,85.5,85.75,86.35,85.0,86.1,7745166
2005-04-15,86.1,85.5,85.5,83.6,84.0,5867194
2005-04-18,84.0,83.0,83.75,80.0,83.05,4844762
2005-04-19,83.05,83.45,84.5,83.0,83.4,3493614
2005-04-20,83.4,83.6,84.95,83.05,84.55,3223562
2005-04-21,84.55,84.9,85.5,83.5,85.25,1792216
2005-04-22,85.25,85.35,85.75,84.75,85.1,1853175
2005-04-25,85.1,85.1,86.0,84.85,85.95,2192387
2005-04-26,85.95,85.9,86.25,85.35,85.75,3381779
2005-04-27,85.75,85.0,85.85,84.05,84.5,2262927
2005-04-28,84.5,84.5,84.5,80.75,81.6,12621932
2005-04-29,81.6,81.55,83.0,81.4,82.15,5783430
2005-05-02,82.15,82.4,82.7,81.15,82.1,2312968
2005-05-03,82.1,82.45,82.45,81.65,82.05,1568480
2005-05-04,82.05,82.25,82.6,81.9,82.05,2310733
2005-05-05,82.05,82.4,83.35,82.3,82.6,2441563
2005-05-06,82.6,82.6,83.2,82.3,83.0,1767343
2005-05-09,83.0,83.0,84.55,83.0,84.3,3834589
2005-05-10,84.3,84.9,85.55,84.4,84.8,4125541
2005-05-11,84.8,85.4,86.0,84.0,84.95,4076923
2005-05-12,84.95,85.0,85.5,84.5,84.7,1840433
2005-05-13,84.7,84.5,84.95,83.7,84.6,1714980
2005-05-16,84.6,85.0,85.5,84.55,85.1,2732091
2005-05-17,85.1,84.6,85.5,83.5,83.8,1162316
2005-05-18,83.8,83.9,84.7,83.25,84.35,1886022
2005-05-19,84.35,84.7,84.95,84.0,84.0,776353
2005-05-20,84.0,84.0,84.25,83.35,83.8,1595744
2005-05-23,83.8,84.0,84.45,83.6,84.1,1209699
2005-05-24,84.1,84.5,84.5,83.7,83.85,1175671
2005-05-25,83.85,83.85,84.4,81.25,84.0,1253686
2005-05-26,84.0,84.15,84.15,82.05,82.45,9247144
2005-05-27,82.45,83.0,84.1,82.8,83.1,3758918
2005-05-30,83.1,83.9,83.9,82.45,82.8,1331274
2005-05-31,82.8,83.8,83.8,82.75,83.5,1987362
2005-06-01,83.5,83.3,83.9,83.3,83.55,1578917
2005-06-02,83.55,83.9,84.2,82.2,82.35,1773982
2005-06-03,82.35,82.35,83.35,82.3,83.2,2450661
2005-06-04,83.2,83.25,83.5,82.75,82.85,275895
2005-06-06,82.85,83.4,87.7,83.1,85.65,12371068
