Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,233.05,237.5,251.7,237.5,251.7,4456424
2000-01-04,251.7,258.4,271.85,251.3,271.85,9487878
2000-01-05,271.85,256.65,287.9,256.65,282.5,26833684
2000-01-06,282.5,289.0,300.7,289.0,294.35,15682286
2000-01-07,294.35,295.0,317.9,293.0,314.55,19870977
2000-01-10,314.55,317.4,318.7,305.3,308.5,13417057
2000-01-11,308.5,307.95,310.95,283.85,288.5,12544322
2000-01-12,288.5,289.0,305.0,282.15,301.7,12109507
2000-01-13,301.7,306.0,316.4,304.1,311.85,17076042
2000-01-14,311.85,309.5,321.65,309.5,316.3,13460592
2000-01-17,316.3,318.25,322.9,307.05,308.75,10729180
2000-01-18,308.75,309.0,318.95,305.55,314.2,10083321
2000-01-19,314.2,322.85,324.9,316.2,319.6,11481392
2000-01-20,319.6,320.0,324.9,310.55,312.85,15428711
2000-01-21,312.85,312.7,328.4,312.0,326.35,17137072
2000-01-24,326.35,325.5,331.85,322.0,326.15,13163301
2000-01-25,326.15,325.05,325.3,318.25,319.95,9752949
2000-01-27,319.95,329.0,336.8,322.7,334.95,15014556
2000-01-28,334.95,335.9,341.9,331.6,338.35,11734252
2000-01-31,338.35,334.45,336.0,326.55,328.15,10191331
2000-02-01,328.15,330.8,337.45,328.0,334.05,10707804
2000-02-02,334.05,342.9,346.9,338.55,340.15,9950848
2000-02-03,340.15,342.0,343.5,336.4,341.65,6771527
2000-02-04,341.65,344.0,347.35,341.7,344.15,7106910
2000-02-07,344.15,341.1,349.45,338.05,343.6,8193641
2000-02-08,343.6,345.5,346.9,341.05,342.4,6430661
2000-02-09,342.4,349.0,354.65,344.8,350.4,11436821
2000-02-10,350.4,348.8,363.8,344.9,355.75,10792579
2000-02-11,355.75,364.0,374.0,360.05,363.3,8155627
2000-02-14,363.3,359.0,360.9,350.0,352.1,5127399
2000-02-15,352.1,352.0,354.4,342.05,344.35,8124337
2000-02-16,344.35,350.0,353.8,343.1,348.15,7876392
2000-02-17,348.15,347.7,356.8,347.5,354.55,7670820
2000-02-18,354.55,356.9,357.95,348.0,349.45,5030667
2000-02-21,349.45,348.4,352.0,341.65,345.65,2944404
2000-02-22,345.65,346.0,347.0,332.5,334.35,7192242
2000-02-23,334.35,344.7,344.7,327.3,329.8,4831725
2000-02-24,329.8,332.9,340.7,329.3,336.75,5663873
2000-02-25,336.75,341.4,342.9,326.1,328.6,3912097
2000-02-28,328.6,324.85,337.25,310.0,333.1,5026004
2000-02-29,333.1,337.9,342.85,306.45,310.85,9970107
2000-03-01,310.85,315.0,329.85,299.0,316.8,10765888
2000-03-02,316.8,318.85,322.0,291.5,291.75,12536245
2000-03-03,291.75,286.1,286.1,268.45,268.45,4636776
2000-03-06,268.45,268.45,283.85,247.0,253.95,10430713
2000-03-07,253.95,257.0,259.0,240.0,242.3,9560450
2000-03-08,242.3,246.9,250.5,230.0,232.95,7256376
2000-03-09,232.95,235.9,242.4,224.15,231.3,5545792
2000-03-10,231.3,234.0,234.8,214.6,216.85,6597169
2000-03-13,216.85,219.9,229.5,200.3,203.2,10765401
2000-03-14,203.2,205.5,219.5,197.15,219.2,10106318
2000-03-15,219.2,224.0,236.75,216.0,236.75,5711222
2000-03-16,236.75,239.5,247.8,230.1,234.85,10564295
2000-03-21,234.85,238.8,242.8,227.6,237.9,6838036
2000-03-22,237.9,245.0,248.5,241.2,243.4,4931613
2000-03-23,243.4,245.25,245.8,238.55,240.95,4286132
2000-03-24,240.95,239.2,242.95,237.65,240.6,2637850
2000-03-27,240.6,243.0,259.85,243.0,259.85,4141666
2000-03-28,259.85,263.1,280.65,263.1,280.65,7026761
2000-03-29,280.65,284.8,289.9,269.0,271.3,10277833
2000-03-30,271.3,269.0,293.0,258.3,293.0,17168324
