Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,225.6,236.0,243.65,234.25,243.65,2373228
2000-01-04,243.65,243.65,262.0,238.85,259.1,4495741
2000-01-05,259.1,249.0,264.7,245.0,248.45,3434058
2000-01-06,248.45,252.0,268.0,252.0,261.0,6658801
2000-01-07,261.0,261.5,279.9,255.0,273.3,7873985
2000-01-10,273.3,280.0,289.85,265.2,269.5,5519316
2000-01-11,269.5,266.8,267.0,247.95,247.95,2427606
2000-01-12,247.95,244.0,251.5,236.6,244.75,2805072
2000-01-13,244.75,246.0,255.6,243.1,244.5,3226776
2000-01-14,244.5,245.0,245.0,238.1,239.2,1506543
2000-01-17,239.2,244.4,251.0,232.3,235.9,4385887
2000-01-18,235.9,236.9,241.0,233.75,236.45,2706614
2000-01-19,236.45,240.9,247.5,240.0,243.95,2511949
2000-01-20,243.95,243.0,244.8,236.25,237.7,1158464
2000-01-21,237.7,238.75,239.75,235.5,237.45,1178627
2000-01-24,237.45,236.65,240.35,227.1,228.3,1855636
2000-01-25,228.3,226.0,227.9,222.6,224.85,2226513
2000-01-27,224.85,229.0,235.5,228.0,230.15,2000745
2000-01-28,230.15,232.7,248.6,232.7,248.5,4978231
2000-01-31,248.5,246.0,256.75,242.5,244.7,4829071
2000-02-01,244.7,245.0,250.7,242.75,246.5,2196468
2000-02-02,246.5,257.0,258.7,246.0,247.5,2328315
2000-02-03,247.5,250.0,264.9,248.6,258.8,7332794
2000-02-04,258.8,260.0,264.75,254.5,255.9,3206295
2000-02-07,255.9,258.7,258.7,243.6,247.4,2058676
2000-02-08,247.4,247.0,248.5,240.8,242.3,2398279
2000-02-09,242.3,254.0,254.0,243.15,245.4,1411153
2000-02-10,245.4,242.2,250.95,242.2,248.8,1843760
2000-02-11,248.8,251.0,257.7,246.6,250.1,2983767
2000-02-14,250.1,252.0,270.15,251.35,266.6,6388369
2000-02-15,266.6,271.9,272.0,247.0,253.9,4747733
2000-02-16,253.9,257.0,257.0,247.5,250.0,2045899
2000-02-17,250.0,248.0,253.8,247.0,250.0,1740649
2000-02-18,250.0,251.75,252.8,239.0,241.1,1509713
2000-02-21,241.1,243.0,248.9,240.0,244.2,2012722
2000-02-22,244.2,245.0,246.4,234.0,237.1,1651462
2000-02-23,237.1,244.9,248.0,232.0,234.05,1276651
2000-02-24,234.05,236.0,247.0,234.25,243.35,1575066
2000-02-25,243.35,242.0,246.5,239.15,241.0,1045776
2000-02-28,241.0,241.0,248.7,237.3,245.45,1473359
2000-02-29,245.45,248.9,262.0,225.85,228.75,3891344
2000-03-01,228.75,233.0,241.5,225.0,236.2,2048520
2000-03-02,236.2,239.0,241.4,223.0,226.0,2301423
2000-03-03,226.0,223.0,227.9,207.95,208.2,1742872
2000-03-06,208.2,214.7,224.0,203.15,212.1,2374676
2000-03-07,212.1,212.1,213.5,202.5,207.5,2046689
2000-03-08,207.5,209.0,209.0,190.9,191.45,1713711
2000-03-09,191.45,191.5,194.0,176.15,178.9,2347673
2000-03-10,178.9,180.9,180.9,168.15,170.4,1314953
2000-03-13,170.4,173.25,179.0,163.0,164.35,1824161
2000-03-14,164.35,168.5,177.5,161.1,177.5,2123749
2000-03-15,177.5,177.6,191.0,175.0,186.5,2364998
2000-03-16,186.5,185.9,201.45,182.5,199.7,3630383
2000-03-21,199.7,203.9,215.6,198.3,212.9,3182185
2000-03-22,212.9,214.7,217.5,206.85,212.1,2320305
2000-03-23,212.1,210.0,211.75,197.25,200.4,1836243
2000-03-24,200.4,199.0,201.5,194.35,197.25,1149127
2000-03-27,197.25,198.0,202.0,189.1,193.1,1527092
