Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,201.6,207.4,217.25,207.4,216.75,676126
2000-01-04,216.75,217.0,219.0,206.0,208.2,679215
2000-01-05,208.2,194.0,217.8,194.0,213.25,1120951
2000-01-06,213.25,215.0,229.9,215.0,222.1,1968998
2000-01-07,222.1,224.0,239.9,223.1,239.9,2199431
2000-01-10,239.9,259.0,259.1,248.0,258.85,1720542
2000-01-11,258.85,260.0,260.0,238.15,238.15,1207916
2000-01-12,238.15,240.0,246.0,229.0,240.25,938579
2000-01-13,240.25,243.0,245.0,231.6,235.45,565754
2000-01-14,235.45,234.95,243.0,233.0,239.05,1024725
2000-01-17,239.05,242.95,258.1,242.95,250.65,1482994
2000-01-18,250.65,251.0,252.5,245.05,248.0,792347
2000-01-19,248.0,251.0,257.9,242.6,250.5,1221042
2000-01-20,250.5,250.0,250.0,233.6,235.7,557949
2000-01-21,235.7,230.1,233.8,225.5,232.2,696339
2000-01-24,232.2,230.0,235.9,213.65,213.65,1125168
2000-01-25,213.65,200.35,204.9,196.6,196.6,706121
2000-01-27,196.6,190.0,193.0,180.9,180.9,1728526
2000-01-28,180.9,171.0,182.0,168.35,175.2,2671887
2000-01-31,175.2,171.15,188.7,170.05,179.7,2850688
2000-02-01,179.7,179.9,184.9,172.1,175.3,1206216
2000-02-02,175.3,184.0,186.9,178.35,180.1,896220
2000-02-03,180.1,180.0,181.75,176.75,177.35,390462
2000-02-04,177.35,179.0,179.95,172.8,178.95,805045
2000-02-07,178.95,178.1,182.5,175.35,177.8,472973
2000-02-08,177.8,179.0,184.9,176.5,180.6,671633
2000-02-09,180.6,186.0,192.0,182.0,183.65,851000
2000-02-10,183.65,184.9,184.9,180.0,181.1,276973
2000-02-11,181.1,183.9,184.8,167.05,169.75,787181
2000-02-14,169.75,170.0,170.0,156.2,157.8,700837
2000-02-15,157.8,158.05,169.0,156.0,165.8,984192
2000-02-16,165.8,171.8,171.8,164.15,164.85,316694
2000-02-17,164.85,165.0,172.0,163.6,166.35,352975
2000-02-18,166.35,166.0,167.0,153.05,154.2,526451
2000-02-21,154.2,150.0,166.55,150.0,166.55,672967
2000-02-22,166.55,173.9,179.9,170.3,179.9,635878
2000-02-23,179.9,189.9,194.0,166.25,168.05,1254749
2000-02-24,168.05,170.9,174.9,165.95,170.25,469287
2000-02-25,170.25,174.45,183.9,166.55,182.9,892722
2000-02-28,182.9,184.0,184.0,174.1,181.05,651357
2000-02-29,181.05,180.05,183.4,166.6,166.6,835041
2000-03-01,166.6,167.0,172.0,154.0,157.6,1464975
2000-03-02,157.6,163.0,163.75,145.75,146.8,1313217
2000-03-03,146.8,137.0,141.9,135.1,135.1,1222358
2000-03-06,135.1,139.9,145.95,136.1,138.75,1705044
2000-03-07,138.75,130.0,139.6,130.0,132.1,1087675
2000-03-08,132.1,134.0,134.1,125.0,127.5,597334
2000-03-09,127.5,128.0,137.7,126.2,137.7,658855
2000-03-10,137.7,130.0,140.0,127.25,129.4,674480
2000-03-13,129.4,131.9,133.4,119.55,120.35,673380
