Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,142.35,148.0,153.2,146.1,152.45,2003185
2000-01-04,152.45,150.1,153.0,143.05,150.8,1555136
2000-01-05,150.8,144.6,162.9,144.6,156.55,3840284
2000-01-06,156.55,158.95,169.1,158.95,168.25,2560449
2000-01-07,168.25,173.4,179.0,166.3,171.95,3641691
2000-01-10,171.95,173.95,184.9,173.95,182.25,4642054
2000-01-11,182.25,179.0,180.0,167.7,167.7,1705968
2000-01-12,167.7,165.0,172.0,159.15,165.3,2337738
2000-01-13,165.3,167.9,170.0,156.05,159.2,1584803
2000-01-14,159.2,161.0,161.9,156.0,158.7,1541731
2000-01-17,158.7,164.95,171.4,163.1,166.8,3326270
2000-01-18,166.8,166.9,176.0,163.25,172.8,3516827
2000-01-19,172.8,177.0,178.0,171.0,172.85,2617065
2000-01-20,172.85,171.0,179.0,160.7,163.1,8257650
2000-01-21,163.1,162.7,164.75,159.1,162.4,2794941
2000-01-24,162.4,163.9,163.9,150.0,151.15,2446509
2000-01-25,151.15,150.0,154.0,147.0,148.45,3030257
2000-01-27,148.45,151.4,153.5,147.5,148.3,1466342
2000-01-28,148.3,148.0,151.0,143.25,144.5,1996632
2000-01-31,144.5,143.1,144.0,138.6,139.35,1269284
2000-02-01,139.35,139.1,142.7,138.6,140.5,1748130
2000-02-02,140.5,143.7,145.25,140.0,141.05,1376545
2000-02-03,141.05,141.9,146.2,139.55,140.0,3275087
2000-02-04,140.0,141.9,142.0,139.0,140.1,1654411
2000-02-07,140.1,140.0,140.85,138.25,139.0,929743
2000-02-08,139.0,138.5,143.5,138.1,141.1,2677365
2000-02-09,141.1,145.4,150.25,143.1,144.4,2847687
2000-02-10,144.4,145.5,145.5,141.1,141.85,1093875
2000-02-11,141.85,143.8,143.95,139.75,140.2,1149793
2000-02-14,140.2,139.0,140.5,132.05,134.65,1013330
2000-02-15,134.65,133.5,137.0,130.25,131.75,1818713
2000-02-16,131.75,135.8,138.0,134.5,135.35,804018
2000-02-17,135.35,136.0,137.65,134.1,135.85,765613
2000-02-18,135.85,135.95,136.5,132.5,133.2,648089
2000-02-21,133.2,134.0,138.75,132.0,133.15,1165796
2000-02-22,133.15,134.35,135.25,130.4,131.25,1013742
2000-02-23,131.25,135.5,136.0,128.0,128.75,728400
2000-02-24,128.75,131.3,133.2,125.25,128.9,785072
2000-02-25,128.9,129.1,133.0,127.5,128.5,681916
2000-02-28,128.5,129.2,131.75,127.1,130.75,546385
2000-02-29,130.75,133.0,135.85,120.3,120.55,1567019
2000-03-01,120.55,123.0,126.85,110.95,115.75,3469035
2000-03-02,115.75,122.0,125.05,113.1,115.3,4536084
2000-03-03,115.3,112.5,112.5,106.1,106.45,1267692
2000-03-06,106.45,108.9,112.5,101.25,102.85,1462483
2000-03-07,102.85,103.4,104.0,96.5,97.15,1992209
2000-03-08,97.15,99.4,99.4,90.5,91.15,1359620
2000-03-09,91.15,91.75,97.5,91.0,96.05,1396024
2000-03-10,96.05,96.0,97.0,90.6,91.9,834661
2000-03-13,91.9,93.3,94.9,89.1,90.35,1024407
2000-03-14,90.35,91.9,97.6,89.25,97.6,1340192
2000-03-15,97.6,104.95,105.45,101.0,105.45,1457390
2000-03-16,105.45,108.0,111.9,100.55,109.05,3260289
2000-03-21,109.05,109.75,111.7,103.1,108.5,2397599
2000-03-22,108.5,108.9,113.4,106.0,109.55,1447656
2000-03-23,109.55,108.35,110.8,103.3,104.25,870011
2000-03-24,104.25,105.0,106.6,104.1,105.85,686553
2000-03-27,105.85,106.9,106.9,103.0,104.0,468429
2000-03-28,104.0,104.5,107.0,102.0,106.35,1220783
2000-03-29,106.35,107.1,109.45,103.85,104.85,1141017
2000-03-30,104.85,104.2,111.5,101.1,108.55,2543879
2000-03-31,108.55,107.3,116.0,105.25,115.15,3660943
2000-04-03,115.15,116.75,124.4,116.75,122.65,3438532
2000-04-04,122.65,121.5,121.5,112.85,114.15,3324851
2000-04-05,114.15,114.0,119.0,109.2,118.25,3400972
2000-04-06,118.25,118.9,122.9,112.0,115.2,1752811
2000-04-07,115.2,115.8,123.9,115.3,123.25,4457298
2000-04-10,123.25,124.0,125.8,119.05,120.6,3288466
2000-04-11,120.6,117.5,119.45,115.25,117.15,1337181
2000-04-12,117.15,118.0,119.65,115.6,116.7,812855
2000-04-13,116.7,115.1,115.1,110.3,112.2,1706328
2000-04-17,112.2,110.0,121.0,104.1,114.4,5607896
2000-04-18,114.4,114.95,119.0,114.0,116.0,1592616
2000-04-19,116.0,119.0,120.5,113.8,115.95,2368988
2000-04-20,115.95,116.0,117.0,112.25,116.1,1231875
2000-04-24,116.1,116.5,117.5,110.6,111.95,1362670
2000-04-25,111.95,110.1,111.0,106.5,109.2,2110199
2000-04-26,109.2,112.4,116.15,110.3,115.5,2157205
2000-04-27,115.5,115.0,115.0,110.0,111.35,1035056
2000-04-28,111.35,112.5,114.5,107.5,108.1,894858
2000-05-02,108.1,108.1,109.0,101.25,102.0,1331445
2000-05-03,102.0,103.0,104.0,98.0,103.05,701492
2000-05-04,103.05,103.95,108.0,102.5,105.4,640752
2000-05-05,105.4,105.05,108.95,103.85,107.15,1085074
2000-05-08,107.15,107.5,111.0,105.35,106.2,856821
2000-05-09,106.2,105.1,106.2,102.15,104.6,744158
2000-05-10,104.6,107.25,107.25,103.75,104.2,337284
2000-05-11,104.2,102.1,104.4,102.0,102.65,225306
2000-05-12,102.65,103.45,103.95,99.0,100.25,464532
2000-05-15,100.25,98.5,102.25,98.0,101.9,443450
2000-05-16,101.9,101.5,103.5,101.5,102.2,515789
2000-05-17,102.2,103.9,108.3,103.9,105.1,1419590
2000-05-18,105.1,106.55,115.5,106.55,111.45,3738719
2000-05-19,111.45,112.5,115.5,111.1,113.5,1688159
2000-05-22,113.5,113.0,119.75,111.9,114.4,2805646
2000-05-23,114.4,114.2,116.5,112.55,115.45,1314005
2000-05-24,115.45,114.75,120.95,113.5,118.25,3245820
2000-05-25,118.25,118.0,120.75,113.15,114.45,2814591
2000-05-26,114.45,114.1,116.4,112.55,113.9,1944298
2000-05-29,113.9,114.9,118.9,113.85,116.0,2108787
2000-05-30,116.0,116.0,117.9,115.0,116.55,1936132
2000-05-31,116.55,119.25,124.9,117.1,122.2,5233474
2000-06-01,122.2,124.0,124.7,118.65,119.25,2287485
2000-06-02,119.25,119.9,133.6,119.9,133.6,7480980
2000-06-05,133.6,135.0,141.5,128.5,130.3,4498334
2000-06-06,130.3,131.0,135.9,129.1,133.95,2121520
2000-06-07,133.95,135.5,135.95,130.0,130.6,1517800
2000-06-08,130.6,131.0,134.0,130.5,133.15,1626902
2000-06-09,133.15,133.0,137.8,132.0,132.65,2983399
2000-06-12,132.65,133.75,134.3,128.5,129.15,1790456
2000-06-13,129.15,128.6,129.0,123.65,125.75,3303496
2000-06-14,125.75,129.5,132.0,127.55,128.3,2178363
2000-06-15,128.3,128.5,128.7,126.5,127.15,638241
2000-06-16,127.15,128.45,131.45,126.75,130.35,2013827
2000-06-19,130.35,131.0,131.0,128.0,128.95,993893
2000-06-20,128.95,129.05,130.0,126.5,127.35,927373
2000-06-21,127.35,128.35,128.35,123.1,123.45,844267
2000-06-22,123.45,123.85,125.95,120.65,124.75,1173265
2000-06-23,124.75,124.95,127.5,122.8,123.35,1274714
2000-06-26,123.35,124.0,124.0,121.05,121.8,600593
2000-06-27,121.8,122.5,124.4,120.45,120.95,1489781
2000-06-28,120.95,121.0,122.4,120.2,121.95,377792
2000-06-29,121.95,122.35,123.5,121.0,121.35,606964
2000-06-30,121.35,120.55,122.8,117.9,118.45,901077
2000-07-03,118.45,119.9,128.9,119.0,126.4,3160737
2000-07-04,126.4,127.0,130.3,126.5,128.3,1664116
2000-07-05,128.3,128.9,130.75,126.5,127.15,1348685
2000-07-06,127.15,128.25,129.2,124.0,127.9,938540
2000-07-07,127.9,129.45,136.7,129.0,134.95,4564240
2000-07-10,134.95,135.0,136.9,133.1,134.25,2388637
2000-07-11,134.25,133.7,140.85,132.6,139.15,3785074
2000-07-12,139.15,144.45,144.7,139.1,140.6,4374409
2000-07-13,140.6,142.5,144.45,138.95,140.8,3031696
2000-07-14,140.8,141.0,142.4,137.3,138.05,1823066
2000-07-17,138.05,138.6,145.0,138.6,143.95,3857563
2000-07-18,143.95,144.2,145.7,139.5,140.4,2763503
2000-07-19,140.4,141.45,142.0,133.5,134.7,2531696
2000-07-20,134.7,136.75,141.95,135.0,136.15,5369089
2000-07-21,136.15,136.9,137.95,124.6,125.8,5058672
2000-07-24,125.8,121.2,122.6,115.75,116.5,1997742
2000-07-25,116.5,115.1,121.95,110.0,120.0,2907837
2000-07-26,120.0,122.0,123.0,115.75,116.45,1783350
2000-07-27,116.45,115.9,118.5,114.85,117.85,1697342
2000-07-28,117.85,116.6,122.0,116.4,118.2,2165600
2000-07-31,118.2,119.0,119.45,116.55,117.95,884774
2000-08-01,117.95,118.4,120.9,117.5,118.05,1865758
2000-08-02,118.05,119.4,119.8,116.8,117.9,1539774
2000-08-03,117.9,118.0,118.4,113.35,114.95,2017226
2000-08-04,114.95,115.25,117.0,113.0,113.75,1455741
2000-08-07,113.75,113.9,114.2,106.6,108.15,1613367
2000-08-08,108.15,108.9,112.7,107.15,109.9,1787938
2000-08-09,109.9,111.45,113.75,110.8,112.1,678144
2000-08-10,112.1,112.0,112.8,109.75,110.15,662031
2000-08-11,110.15,110.2,111.0,105.7,107.2,1286679
2000-08-14,107.2,108.0,108.0,104.0,105.65,1723279
2000-08-16,105.65,107.35,109.4,106.0,107.65,1339950
2000-08-17,107.65,107.75,109.7,106.65,107.05,1403837
2000-08-18,107.05,107.9,107.9,105.55,106.5,807645
2000-08-21,106.5,107.0,108.8,106.35,107.55,899289
2000-08-22,107.55,108.05,112.45,107.05,111.5,1875037
2000-08-23,111.5,113.0,114.8,111.5,112.4,1616521
2000-08-24,112.4,112.4,112.4,109.1,110.4,819703
2000-08-25,110.4,109.6,111.45,109.3,110.15,765462
2000-08-28,110.15,110.5,111.9,110.05,110.7,894272
2000-08-29,110.7,110.4,111.35,109.55,109.8,879963
2000-08-30,109.8,110.8,111.4,109.8,110.15,542392
2000-08-31,110.15,110.0,110.45,108.5,109.0,475460
2000-09-04,109.0,109.75,112.4,109.5,110.9,965440
2000-09-05,110.9,111.45,112.5,110.65,111.25,802116
2000-09-06,111.25,111.6,114.4,111.0,113.05,1789000
2000-09-07,113.05,113.5,115.45,112.75,113.1,1250554
2000-09-08,113.1,113.0,113.2,111.3,111.55,585012
2000-09-11,111.55,112.5,113.85,110.5,111.1,683625
2000-09-12,111.1,110.9,111.0,108.65,109.2,1024981
2000-09-13,109.2,109.25,109.8,107.8,107.95,449327
2000-09-14,107.95,107.6,108.65,106.1,106.55,376326
2000-09-15,106.55,107.7,107.9,104.25,104.95,584705
2000-09-18,104.95,103.0,103.9,101.0,101.7,438515
2000-09-19,101.7,101.0,102.5,97.1,97.5,1220188
2000-09-20,97.5,98.8,101.0,97.35,99.35,1203563
2000-09-21,99.35,100.75,102.0,99.0,99.95,670951
2000-09-22,99.95,99.3,99.3,95.0,95.55,796989
2000-09-25,95.55,97.25,101.9,95.3,96.15,562320
2000-09-26,96.15,97.7,97.7,94.85,95.7,862813
2000-09-27,95.7,96.0,96.5,94.3,95.6,332511
2000-09-28,95.6,95.5,96.5,94.25,94.45,362281
2000-09-29,94.45,95.25,95.5,93.75,94.3,348591
2000-10-03,94.3,93.55,96.85,93.5,95.65,753747
2000-10-04,95.65,96.0,100.4,95.0,98.35,985792
2000-10-05,98.35,98.6,100.3,97.0,97.25,489057
2000-10-06,97.25,96.3,97.95,96.15,96.85,272734
2000-10-09,96.85,96.1,97.0,95.6,95.95,207378
2000-10-10,95.95,95.25,97.0,91.75,92.25,758818
2000-10-11,92.25,91.25,92.4,87.5,88.05,734616
2000-10-12,88.05,87.1,88.9,86.5,87.05,591263
2000-10-13,87.05,86.0,92.2,85.05,89.75,1694229
2000-10-16,89.75,91.7,94.0,88.15,89.5,1073434
2000-10-17,89.5,88.25,91.15,87.0,88.4,877167
2000-10-18,88.4,89.0,91.0,88.25,90.3,830252
2000-10-19,90.3,91.4,99.35,91.05,97.1,2823482
2000-10-20,97.1,99.75,104.9,99.5,102.3,3252523
2000-10-23,102.3,101.1,102.4,95.85,96.25,1296542
