Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,144.95,146.0,156.45,146.0,155.7,23000
2000-01-04,155.7,152.0,152.0,144.0,147.4,26300
2000-01-05,147.4,144.0,148.8,136.0,138.4,20600
2000-01-06,138.4,142.0,149.5,141.0,149.5,31600
2000-01-07,149.5,149.5,153.0,145.0,146.35,36600
2000-01-10,146.35,150.0,150.0,141.05,144.9,33100
2000-01-11,144.9,138.0,146.7,137.1,141.0,75600
2000-01-12,141.0,151.9,152.3,145.5,147.9,19711
2000-01-13,147.9,151.5,157.0,146.3,148.85,62777
2000-01-14,148.85,150.0,150.0,143.05,144.5,14332
2000-01-17,144.5,143.0,150.5,141.8,143.75,7947
2000-01-18,143.75,142.05,144.8,135.75,139.2,35683
2000-01-19,139.2,142.6,145.0,140.0,142.15,22876
2000-01-20,142.15,142.5,142.5,137.9,141.1,19869
2000-01-21,141.1,139.0,140.95,137.15,138.85,13270
2000-01-24,138.85,139.1,143.0,139.0,140.05,10451
2000-01-25,140.05,140.0,140.4,136.7,137.7,8983
2000-01-27,137.7,140.0,144.9,136.5,138.7,4109
2000-01-28,138.7,135.0,138.0,134.9,136.2,8399
2000-01-31,136.2,132.0,137.9,132.0,136.05,13556
2000-02-01,136.05,131.0,143.85,125.2,134.75,6038
2000-02-02,134.75,136.95,136.95,127.0,129.1,7818
2000-02-03,129.1,127.0,129.5,125.0,125.55,6218
2000-02-04,125.55,128.7,128.7,120.0,123.7,5275
2000-02-07,123.7,127.0,127.0,113.8,114.0,7818
2000-02-08,114.0,107.0,120.0,107.0,118.1,9764
2000-02-09,118.1,119.9,123.4,115.0,117.5,13661
2000-02-10,117.5,119.0,120.9,116.0,117.1,8545
2000-02-11,117.1,116.0,116.0,108.0,108.7,15556
2000-02-14,108.7,104.4,106.95,102.0,102.05,5161
2000-02-15,102.05,102.0,107.0,100.0,102.05,14364
2000-02-16,102.05,105.0,107.8,103.1,104.0,6534
2000-02-17,104.0,105.95,110.8,104.2,109.95,8806
2000-02-18,109.95,107.4,110.0,105.3,106.75,4141
2000-02-21,106.75,102.0,109.7,102.0,106.45,7977
2000-02-22,106.45,105.0,108.0,105.0,107.25,10745
2000-02-23,107.25,105.05,108.5,105.05,108.5,2807
2000-02-24,108.5,105.0,108.0,105.0,107.05,1562
2000-02-25,107.05,107.75,107.75,100.0,102.6,3021
2000-02-28,102.6,101.0,103.0,100.5,102.95,7728
2000-02-29,102.95,101.1,108.95,100.0,101.1,4410
2000-03-01,101.1,102.6,104.0,100.0,101.65,1966
2000-03-02,101.65,102.95,105.0,96.0,96.2,21054
2000-03-03,96.2,95.95,95.95,88.5,89.4,3765
2000-03-06,89.4,91.0,94.2,84.55,87.6,15524
2000-03-07,87.6,86.5,89.0,81.1,85.2,4579
2000-03-08,85.2,87.7,87.7,78.5,80.0,3464
2000-03-09,80.0,80.0,80.0,73.7,74.05,3086
2000-03-10,74.05,71.55,75.95,69.0,72.45,8192
