Date,Prev Close,Open,High,Low,Close,Volume
2004-01-23,10.0,100.0,560.0,100.0,553.8,73629
2004-01-27,553.8,570.0,570.0,525.0,540.35,26737
2004-01-28,540.35,530.0,565.0,511.0,538.85,32155
2004-01-29,538.85,530.0,543.5,504.0,515.1,19074
2004-01-30,515.1,519.0,519.0,471.4,482.95,23807
2004-02-03,482.95,472.0,475.0,450.0,461.45,25068
2004-02-04,461.45,442.0,479.0,442.0,475.15,21392
2004-02-05,475.15,475.0,489.0,470.5,480.15,19618
2004-02-06,480.15,461.1,486.0,461.0,480.75,11997
2004-02-09,480.75,475.0,483.0,462.05,471.95,19547
2004-02-10,471.95,480.0,480.0,459.0,477.8,20031
2004-02-11,477.8,479.0,483.95,475.8,479.75,8149
2004-02-12,479.75,480.0,489.0,475.55,486.35,10600
2004-02-13,486.35,493.0,495.95,480.0,492.8,14134
2004-02-16,492.8,465.0,498.0,465.0,494.35,9670
2004-02-17,494.35,491.0,500.0,490.0,497.65,38983
2004-02-18,497.65,495.0,504.0,492.0,501.75,8918
2004-02-19,501.75,500.0,500.0,475.0,481.55,24195
2004-02-20,481.55,484.9,484.9,471.65,475.0,44404
2004-02-23,475.0,505.0,505.0,465.0,469.2,13769
2004-02-24,469.2,469.55,485.1,469.5,482.6,11944
2004-02-25,482.6,484.0,484.0,469.5,470.85,8565
2004-02-26,470.85,476.0,485.0,460.0,470.65,6316
2004-02-27,470.65,466.1,481.0,466.1,477.7,80565
2004-03-01,477.7,475.6,482.0,471.5,479.65,8563
2004-03-03,479.65,490.0,531.7,490.0,516.6,46849
2004-03-04,516.6,529.5,529.5,493.3,498.95,13976
2004-03-05,498.95,508.0,509.9,496.25,499.5,13147
2004-03-08,499.5,500.0,514.0,500.0,513.2,18863
2004-03-09,513.2,514.0,518.9,501.15,512.3,13688
2004-03-10,512.3,505.0,512.0,505.0,509.9,13606
2004-03-11,509.9,505.0,518.0,505.0,515.2,14098
2004-03-12,515.2,515.0,515.0,487.05,497.3,4523
2004-03-15,497.3,485.25,508.0,450.0,498.4,15463
2004-03-16,498.4,481.3,493.0,477.0,481.4,2871
2004-03-17,481.4,485.0,485.0,476.0,477.15,2033
2004-03-18,477.15,483.1,488.9,475.0,481.6,5990
2004-03-19,481.6,482.05,488.9,480.0,484.4,4890
2004-03-22,484.4,475.2,475.2,460.0,461.4,13607
2004-03-23,461.4,455.25,457.0,428.0,444.4,11645
2004-03-24,444.4,436.1,443.0,430.0,432.25,1065
2004-03-25,432.25,431.0,449.95,430.0,436.25,6362
2004-03-26,436.25,441.0,463.8,441.0,455.65,4840
2004-03-29,455.65,464.75,464.75,450.0,451.75,5322
2004-03-30,451.75,460.0,462.0,457.0,457.65,1641
2004-03-31,457.65,460.0,462.9,451.55,459.4,7332
2004-04-01,459.4,460.0,500.0,460.0,484.25,8363
2004-04-02,484.25,490.0,490.0,475.0,480.65,1694
2004-04-05,480.65,480.1,494.9,475.0,486.75,3413
2004-04-06,486.75,482.25,485.0,476.25,481.15,24012
2004-04-07,481.15,473.9,490.0,473.9,482.05,3904
2004-04-08,482.05,482.0,486.9,480.0,481.55,17549
2004-04-12,481.55,475.1,482.4,475.0,478.55,5356
2004-04-13,478.55,470.5,482.05,470.5,476.0,12953
2004-04-15,476.0,476.0,488.0,476.0,485.5,3720
2004-04-16,485.5,488.0,492.25,486.0,490.0,8824
2004-04-17,490.0,490.0,490.0,480.3,483.95,250
2004-04-19,483.95,480.1,490.5,480.0,483.0,41468
2004-04-20,483.0,475.0,480.0,465.0,474.6,1372
