Date,Prev Close,Open,High,Low,Close,Volume
2000-01-03,107.7,111.0,116.35,108.0,116.35,20371
2000-01-04,116.35,113.75,116.0,108.0,114.7,22366
2000-01-05,114.7,107.55,115.85,107.55,114.0,18305
2000-01-06,114.0,112.0,123.1,112.0,119.3,25800
2000-01-07,119.3,119.85,120.0,114.05,116.5,17361
2000-01-10,116.5,120.5,120.85,116.0,119.0,20707
2000-01-11,119.0,118.0,118.2,113.35,114.55,20648
2000-01-12,114.55,115.5,117.4,114.65,115.45,4995
2000-01-13,115.45,112.25,115.9,112.1,115.1,15911
2000-01-14,115.1,113.55,114.0,111.35,113.9,3722
2000-01-17,113.9,114.05,117.5,114.05,115.55,7855
2000-01-18,115.55,111.55,115.25,111.55,114.05,12095
2000-01-19,114.05,119.0,119.0,115.0,117.4,3875
2000-01-20,117.4,114.0,117.0,114.0,116.4,5656
2000-01-21,116.4,115.45,116.25,112.5,114.2,6295
2000-01-24,114.2,110.1,114.95,110.1,112.0,4139
2000-01-25,112.0,110.1,110.45,107.15,107.55,7899
2000-01-27,107.55,100.0,111.0,100.0,108.2,3404
2000-01-28,108.2,110.0,110.0,105.0,105.75,12442
2000-01-31,105.75,106.0,106.0,97.3,97.3,10492
2000-02-01,97.3,91.0,99.25,91.0,97.85,9127
2000-02-02,97.85,99.9,102.9,97.05,100.25,7271
2000-02-03,100.25,104.9,105.0,100.0,100.95,5819
2000-02-04,100.95,99.5,101.85,97.25,97.3,7791
2000-02-07,97.3,95.05,96.65,94.15,95.0,7085
2000-02-08,95.0,94.5,95.0,91.1,92.5,10152
2000-02-09,92.5,93.1,95.95,91.05,91.05,6094
2000-02-10,91.05,89.1,91.0,88.25,89.8,8363
2000-02-11,89.8,90.0,90.0,87.05,87.9,5047
2000-02-14,87.9,89.0,89.0,82.75,83.8,6747
2000-02-15,83.8,82.3,86.0,81.35,84.15,9736
2000-02-16,84.15,86.0,89.0,85.35,86.75,10700
2000-02-17,86.75,88.0,88.0,82.0,84.0,10395
2000-02-18,84.0,82.5,83.5,79.0,80.1,11263
2000-02-21,80.1,80.0,81.0,77.15,78.15,7133
2000-02-22,78.15,77.0,78.8,72.25,73.2,17682
2000-02-23,73.2,77.85,77.85,74.0,74.6,11174
2000-02-24,74.6,72.1,77.95,72.1,74.55,6585
2000-02-25,74.55,74.0,74.7,69.0,69.9,10720
2000-02-28,69.9,67.25,73.0,67.05,72.45,4049
2000-02-29,72.45,74.25,74.9,68.25,70.35,14175
2000-03-01,70.35,72.8,73.7,72.0,73.1,7155
2000-03-02,73.1,70.25,70.25,67.6,68.0,10520
2000-03-03,68.0,66.1,67.9,64.15,64.6,10162
2000-03-06,64.6,68.9,69.0,64.5,65.1,14201
2000-03-07,65.1,66.0,66.0,60.05,61.7,10021
2000-03-08,61.7,64.0,64.0,60.0,61.25,12010
2000-03-09,61.25,63.5,63.5,60.0,62.3,6910
2000-03-10,62.3,62.6,62.6,58.3,60.2,120745
2000-03-13,60.2,57.0,60.1,57.0,58.4,8050
2000-03-14,58.4,63.0,63.1,58.65,62.8,11995
2000-03-15,62.8,64.5,67.85,64.5,67.85,3297
2000-03-16,67.85,70.0,73.0,65.2,68.2,15159
2000-03-21,68.2,68.0,70.0,64.6,66.5,5871
2000-03-22,66.5,66.85,66.85,63.55,63.95,6648
2000-03-23,63.95,63.5,63.5,60.5,60.95,5097
2000-03-24,60.95,60.9,62.0,56.1,61.25,17084
2000-03-27,61.25,61.45,63.9,60.3,62.95,6381
2000-03-28,62.95,61.85,61.85,59.5,61.05,13006
2000-03-29,61.05,64.0,64.4,60.8,61.15,5232
2000-03-30,61.15,62.6,65.45,62.0,64.3,6719
2000-03-31,64.3,64.9,66.0,62.55,64.5,10110
2000-04-03,64.5,69.5,69.5,65.75,66.75,8460
2000-04-04,66.75,63.0,65.0,61.45,61.45,15150
2000-04-05,61.45,57.0,64.95,57.0,63.4,8049
2000-04-06,63.4,64.0,64.35,59.0,62.45,11985
2000-04-07,62.45,63.5,63.5,60.5,60.95,20942
2000-04-10,60.95,64.0,65.85,62.95,65.25,36618
2000-04-11,65.25,68.0,68.0,62.85,63.25,27571
2000-04-12,63.25,65.05,66.7,64.1,64.75,52071
2000-04-13,64.75,64.0,64.0,62.25,62.95,16470
2000-04-17,62.95,58.15,63.95,58.15,63.4,7493
2000-04-18,63.4,63.0,63.95,62.1,63.1,5935
2000-04-19,63.1,64.25,64.25,60.05,61.3,11007
2000-04-20,61.3,62.0,62.0,57.65,59.05,9321
2000-04-24,59.05,59.5,59.5,56.2,58.7,5632
2000-04-25,58.7,57.25,57.5,55.05,55.9,6020
2000-04-26,55.9,58.65,60.0,57.05,59.35,5782
2000-04-27,59.35,59.0,59.9,56.65,57.9,4260
2000-04-28,57.9,55.5,57.0,55.5,56.15,10321
2000-05-02,56.15,55.5,55.5,52.0,52.55,27851
2000-05-03,52.55,48.8,54.95,48.8,53.25,3325
2000-05-04,53.25,57.5,57.5,52.5,53.8,4653
2000-05-05,53.8,55.5,55.9,53.55,53.7,7289
2000-05-08,53.7,55.0,55.0,53.1,54.05,2340
2000-05-09,54.05,52.55,54.0,52.55,53.2,6695
2000-05-10,53.2,53.0,54.3,52.25,53.7,2896
2000-05-11,53.7,52.1,54.0,52.1,52.75,3665
2000-05-12,52.75,52.05,53.8,50.1,50.8,5348
2000-05-15,50.8,50.5,52.0,50.1,51.8,3092
2000-05-16,51.8,50.05,52.6,50.0,50.15,5353
2000-05-17,50.15,51.0,52.45,51.0,52.0,4053
2000-05-18,52.0,52.6,52.6,48.7,49.2,6695
2000-05-19,49.2,49.0,49.0,45.5,46.45,7984
2000-05-22,46.45,45.0,47.3,43.0,46.65,6130
2000-05-23,46.65,47.8,48.0,46.5,46.7,4602
2000-05-24,46.7,47.0,49.0,47.0,48.3,7880
2000-05-25,48.3,48.75,50.95,47.35,49.65,6419
2000-05-26,49.65,52.15,52.15,49.55,50.85,4126
2000-05-29,50.85,51.5,54.5,51.5,53.95,8096
2000-05-30,53.95,53.0,54.6,52.8,53.95,9013
2000-05-31,53.95,57.0,58.0,53.0,54.15,8986
2000-06-01,54.15,53.05,55.0,53.05,54.65,3405
2000-06-02,54.65,52.6,54.0,51.0,53.95,5719
2000-06-05,53.95,54.5,58.25,54.5,56.95,8818
2000-06-06,56.95,58.0,59.35,55.35,58.75,6345
2000-06-07,58.75,58.95,59.2,57.9,58.25,7067
2000-06-08,58.25,55.0,58.0,55.0,57.65,7083
2000-06-09,57.65,55.55,58.0,55.5,56.15,7390
2000-06-12,56.15,58.0,58.9,56.15,58.15,10092
2000-06-13,58.15,58.6,60.0,57.1,59.05,8831
2000-06-14,59.05,61.05,63.0,61.0,61.6,11226
2000-06-15,61.6,60.05,61.45,59.0,60.65,6902
2000-06-16,60.65,60.0,61.4,59.1,60.15,5398
2000-06-19,60.15,59.6,61.0,56.05,60.65,3609
2000-06-20,60.65,59.1,61.1,57.0,57.9,10346
2000-06-21,57.9,57.55,60.5,57.5,59.5,3752
2000-06-22,59.5,59.75,63.0,58.3,61.3,8227
2000-06-23,61.3,61.75,61.75,59.15,59.95,6043
2000-06-26,59.95,55.6,58.9,55.6,58.3,2424
2000-06-27,58.3,57.6,60.0,55.05,55.55,9116
2000-06-28,55.55,56.1,57.35,55.5,56.1,3013
2000-06-29,56.1,55.0,56.95,55.0,55.5,2551
2000-06-30,55.5,58.0,58.0,54.35,55.15,2510
2000-07-03,55.15,55.6,56.4,55.0,55.05,1062
2000-07-04,55.05,52.15,55.9,52.15,54.3,2521
2000-07-05,54.3,55.0,56.35,54.3,55.75,1850
